age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Chronic respiratory,Diabetes & kidney disease,Digestive
0,0.07833041191936897,0.018733567046450482,0.003615249780893953,0.010736196319018405,0.35276073619631904,0.5192813321647678,0.007887817703768623,0.002081507449605609,0.006573181419807186
1,0.3397129186602871,0.08931419457735247,0.049441786283891544,0.03508771929824561,0.291866028708134,0.14354066985645933,0.030303030303030304,0.003189792663476874,0.017543859649122806
2,0.43373493975903615,0.043373493975903614,0.09156626506024096,0.06265060240963856,0.1855421686746988,0.1180722891566265,0.043373493975903614,0.004819277108433735,0.016867469879518072
3,0.4507936507936508,0.06349206349206349,0.1111111111111111,0.06031746031746032,0.18095238095238095,0.08571428571428572,0.02857142857142857,0.006349206349206349,0.012698412698412698
4,0.38408304498269896,0.04498269896193772,0.1695501730103806,0.07958477508650519,0.14186851211072665,0.11418685121107267,0.03460207612456748,0.010380622837370242,0.020761245674740483
5,0.35793357933579334,0.03690036900369004,0.16974169741697417,0.08118081180811808,0.17712177121771217,0.11439114391143912,0.02952029520295203,0.01107011070110701,0.02214022140221402
6,0.3425196850393701,0.051181102362204724,0.14960629921259844,0.05511811023622047,0.23228346456692914,0.11811023622047244,0.03543307086614173,0.0,0.015748031496062992
7,0.31100478468899523,0.06698564593301436,0.18660287081339713,0.07177033492822966,0.20095693779904306,0.08133971291866028,0.05741626794258373,0.014354066985645933,0.009569377990430622
8,0.2898550724637681,0.0966183574879227,0.15458937198067632,0.0821256038647343,0.15942028985507245,0.12077294685990338,0.057971014492753624,0.0,0.03864734299516908
9,0.32211538461538464,0.07692307692307693,0.1778846153846154,0.11538461538461539,0.16826923076923078,0.057692307692307696,0.04326923076923077,0.014423076923076924,0.02403846153846154
10,0.3248730964467005,0.07106598984771574,0.17766497461928935,0.08121827411167512,0.14213197969543148,0.116751269035533,0.050761421319796954,0.015228426395939087,0.02030456852791878
11,0.3605150214592275,0.060085836909871244,0.18454935622317598,0.0815450643776824,0.1759656652360515,0.055793991416309016,0.055793991416309016,0.008583690987124463,0.017167381974248927
12,0.3835125448028674,0.06451612903225806,0.1827956989247312,0.06093189964157706,0.11827956989247312,0.0931899641577061,0.06093189964157706,0.025089605734767026,0.010752688172043012
13,0.5047318611987381,0.0473186119873817,0.1167192429022082,0.07255520504731862,0.12302839116719243,0.07255520504731862,0.015772870662460567,0.015772870662460567,0.031545741324921134
14,0.5342465753424658,0.04657534246575343,0.1232876712328767,0.07671232876712329,0.11506849315068493,0.0410958904109589,0.0273972602739726,0.010958904109589041,0.024657534246575342
15,0.5472972972972973,0.05405405405405406,0.11936936936936937,0.06981981981981981,0.11936936936936937,0.033783783783783786,0.033783783783783786,0.01126126126126126,0.01126126126126126
16,0.6270566727605119,0.04936014625228519,0.10603290676416818,0.04936014625228519,0.09323583180987204,0.03656307129798903,0.018281535648994516,0.007312614259597806,0.012797074954296161
17,0.6754966887417219,0.03642384105960265,0.10099337748344371,0.056291390728476824,0.08774834437086093,0.02152317880794702,0.009933774834437087,0.006622516556291391,0.004966887417218543
18,0.6938239159001314,0.03679369250985545,0.06701708278580815,0.04862023653088042,0.07621550591327202,0.0328515111695138,0.024967148488830485,0.013140604467805518,0.006570302233902759
19,0.6622596153846154,0.04567307692307692,0.06610576923076923,0.057692307692307696,0.08533653846153846,0.03125,0.02403846153846154,0.019230769230769232,0.008413461538461538
20,0.6498855835240275,0.04462242562929062,0.07208237986270023,0.05835240274599542,0.07208237986270023,0.05263157894736842,0.020594965675057208,0.013729977116704805,0.016018306636155607
21,0.6315205327413984,0.03995560488346282,0.06770255271920089,0.05660377358490566,0.09988901220865705,0.04550499445061043,0.025527192008879023,0.021087680355160933,0.01220865704772475
22,0.6354679802955665,0.04827586206896552,0.059113300492610835,0.03940886699507389,0.10147783251231528,0.06305418719211822,0.020689655172413793,0.013793103448275862,0.0187192118226601
