age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Diabetes & kidney disease,Chronic respiratory,Digestive
0,0.08253676470588235,0.01875,0.0034926470588235296,0.013419117647058823,0.3329963235294118,0.5307904411764706,0.0022058823529411764,0.00818014705882353,0.007628676470588235
1,0.3695121951219512,0.05853658536585366,0.04390243902439024,0.032926829268292684,0.28292682926829266,0.15853658536585366,0.006097560975609756,0.03780487804878049,0.00975609756097561
2,0.4990859232175503,0.04936014625228519,0.0603290676416819,0.04936014625228519,0.16270566727605118,0.12614259597806216,0.0018281535648994515,0.031078610603290677,0.02010968921389397
3,0.5150862068965517,0.034482758620689655,0.10991379310344827,0.05818965517241379,0.15732758620689655,0.08836206896551724,0.00646551724137931,0.01939655172413793,0.010775862068965518
4,0.49283667621776506,0.034383954154727794,0.12893982808022922,0.0659025787965616,0.16045845272206305,0.06876790830945559,0.0057306590257879654,0.03151862464183381,0.011461318051575931
5,0.4147058823529412,0.058823529411764705,0.17352941176470588,0.05,0.15588235294117647,0.1,0.0,0.03235294117647059,0.014705882352941176
6,0.39615384615384613,0.03461538461538462,0.17307692307692307,0.06153846153846154,0.16153846153846155,0.11538461538461539,0.0038461538461538464,0.03076923076923077,0.023076923076923078
7,0.3804347826086957,0.06521739130434782,0.16666666666666666,0.08333333333333333,0.19202898550724637,0.06521739130434782,0.0,0.028985507246376812,0.018115942028985508
8,0.38976377952755903,0.015748031496062992,0.1889763779527559,0.07874015748031496,0.12598425196850394,0.09448818897637795,0.007874015748031496,0.05905511811023622,0.03937007874015748
9,0.35826771653543305,0.04330708661417323,0.15748031496062992,0.1141732283464567,0.16535433070866143,0.07874015748031496,0.01968503937007874,0.03937007874015748,0.023622047244094488
10,0.3096085409252669,0.05693950177935943,0.2099644128113879,0.11743772241992882,0.15302491103202848,0.0498220640569395,0.014234875444839857,0.07829181494661921,0.010676156583629894
11,0.39087947882736157,0.07166123778501629,0.1465798045602606,0.11400651465798045,0.15960912052117263,0.048859934853420196,0.006514657980456026,0.03257328990228013,0.029315960912052116
12,0.4257142857142857,0.06285714285714286,0.13714285714285715,0.12285714285714286,0.13714285714285715,0.06857142857142857,0.002857142857142857,0.02857142857142857,0.014285714285714285
13,0.5560253699788583,0.03171247357293869,0.11627906976744186,0.05919661733615222,0.12684989429175475,0.048625792811839326,0.0021141649048625794,0.046511627906976744,0.012684989429175475
14,0.6492659053833605,0.03262642740619902,0.09135399673735727,0.08156606851549755,0.07504078303425775,0.03262642740619902,0.004893964110929853,0.021207177814029365,0.011419249592169658
15,0.713963963963964,0.04391891891891892,0.08783783783783784,0.057432432432432436,0.05405405405405406,0.019144144144144143,0.007882882882882882,0.010135135135135136,0.00563063063063063
16,0.7868589743589743,0.028846153846153848,0.060897435897435896,0.038461538461538464,0.04487179487179487,0.019230769230769232,0.007211538461538462,0.007211538461538462,0.00641025641025641
17,0.7878426698450537,0.028605482717520857,0.056615017878426696,0.03456495828367104,0.05303933253873659,0.011918951132300357,0.005363528009535161,0.016090584028605484,0.0059594755661501785
18,0.8525390625,0.02587890625,0.03466796875,0.02587890625,0.0322265625,0.009765625,0.0068359375,0.0078125,0.00439453125
19,0.8354063018242123,0.028606965174129355,0.036069651741293535,0.02943615257048093,0.03980099502487562,0.011194029850746268,0.006633499170812604,0.007048092868988391,0.005804311774461028
20,0.8378812199036918,0.026484751203852328,0.04012841091492777,0.02608346709470305,0.03892455858747994,0.006821829855537721,0.008025682182985553,0.009630818619582664,0.006019261637239166
21,0.8263785394932935,0.03464977645305514,0.03651266766020864,0.028315946348733235,0.038375558867362144,0.014157973174366617,0.005961251862891207,0.006333830104321907,0.009314456035767511
