age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Chronic respiratory,Diabetes & kidney disease,Digestive
0,0.08061775289884046,0.01874250299880048,0.0035485805677728907,0.012195121951219513,0.34201319472211117,0.5255397840863655,0.008046781287485006,0.002149140343862455,0.007147141143542583
1,0.3565998617829993,0.0718728403593642,0.04630269523151347,0.033863165169315826,0.28680027643400136,0.1520387007601935,0.03455425017277125,0.0048375950241879755,0.013130615065653075
2,0.4708939708939709,0.04677754677754678,0.07380457380457381,0.0550935550935551,0.17255717255717257,0.12266112266112267,0.036382536382536385,0.0031185031185031187,0.018711018711018712
3,0.4890885750962773,0.04621309370988447,0.110397946084724,0.059050064184852376,0.1668806161745828,0.08729139922978177,0.023106546854942234,0.006418485237483954,0.011553273427471117
4,0.44357366771159873,0.03918495297805643,0.14733542319749215,0.07210031347962383,0.15203761755485892,0.08934169278996865,0.032915360501567396,0.007836990595611285,0.01567398119122257
5,0.3895253682487725,0.049099836333878884,0.1718494271685761,0.06382978723404255,0.16530278232405893,0.10638297872340426,0.031096563011456628,0.004909983633387889,0.01800327332242226
6,0.36964980544747084,0.042801556420233464,0.1614785992217899,0.058365758754863814,0.19649805447470817,0.11673151750972763,0.033073929961089495,0.0019455252918287938,0.019455252918287938
7,0.35051546391752575,0.06597938144329897,0.17525773195876287,0.07835051546391752,0.1958762886597938,0.07216494845360824,0.041237113402061855,0.006185567010309278,0.01443298969072165
8,0.34490238611713664,0.052060737527114966,0.1735357917570499,0.08026030368763558,0.14099783080260303,0.10629067245119306,0.05856832971800434,0.004338394793926247,0.039045553145336226
9,0.341991341991342,0.05844155844155844,0.16666666666666666,0.11471861471861472,0.16666666666666666,0.06926406926406926,0.04112554112554113,0.017316017316017316,0.023809523809523808
10,0.3158995815899582,0.06276150627615062,0.19665271966527198,0.10251046025104603,0.14853556485355648,0.07740585774058577,0.06694560669456066,0.014644351464435146,0.014644351464435146
11,0.37777777777777777,0.06666666666666667,0.16296296296296298,0.1,0.16666666666666666,0.05185185185185185,0.04259259259259259,0.007407407407407408,0.024074074074074074
12,0.4069952305246423,0.06359300476947535,0.1573926868044515,0.09538950715421304,0.1287758346581876,0.0794912559618442,0.04292527821939587,0.012718600953895072,0.012718600953895072
13,0.5354430379746835,0.0379746835443038,0.11645569620253164,0.06455696202531645,0.12531645569620253,0.05822784810126582,0.03417721518987342,0.007594936708860759,0.020253164556962026
14,0.6063394683026585,0.03783231083844581,0.1032719836400818,0.07975460122699386,0.08997955010224949,0.03578732106339468,0.023517382413087935,0.007157464212678937,0.016359918200409
15,0.6584084084084084,0.0472972972972973,0.09834834834834835,0.06156156156156156,0.07582582582582582,0.024024024024024024,0.018018018018018018,0.009009009009009009,0.0075075075075075074
16,0.7381615598885793,0.0350974930362117,0.07465181058495822,0.04178272980501393,0.0596100278551532,0.024512534818941504,0.010584958217270195,0.0072423398328690805,0.008356545961002786
17,0.7581069237510956,0.03067484662576687,0.06836108676599474,0.040315512708150744,0.06222611744084137,0.014460999123575811,0.014460999123575811,0.0056967572304995615,0.0056967572304995615
18,0.8095407618369527,0.028835884656461374,0.04343182627269491,0.032039871840512636,0.044143823424706304,0.016019935920256318,0.01245995016019936,0.008543965824136704,0.004983980064079744
19,0.7909987669543773,0.03298397040690505,0.043773119605425403,0.03668310727496917,0.05147965474722565,0.016337854500616523,0.011405672009864365,0.009864364981504316,0.006473489519112207
20,0.7890671420083185,0.031194295900178252,0.048425430778371956,0.0344622697563874,0.047534165181224004,0.01871657754010695,0.012477718360071301,0.009506833036244802,0.00861556743909685
21,0.7774058577405858,0.03598326359832636,0.04435146443514645,0.03542538354253835,0.05383542538354254,0.02203626220362622,0.011157601115760111,0.009762900976290097,0.0100418410041841
22,0.7623762376237624,0.03934340802501303,0.04325169359041167,0.03621677957269411,0.060969254820218866,0.024752475247524754,0.01276706618030224,0.010943199583116207,0.009379885356956748
23,0.7613779230575811,0.037968317827508175,0.04601458385717878,0.03746542620065376,0.059341211968820716,0.020870002514458134,0.010057832537088257,0.012572290671360321,0.014332411365350767
24,0.7491757545016485,0.04463606391072787,0.04159269591681461,0.03296981993406036,0.06061374587877251,0.025868627948262744,0.0126806999746386,0.015977681968044635,0.01648490996703018
25,0.7141165324490762,0.05329227854097584,0.05187115111321648,0.031501657981999054,0.07176693510184746,0.025343439128375177,0.016579819990525817,0.01634296541923259,0.019185220274751304
26,0.7145359019264448,0.054509632224168124,0.05166374781085814,0.03130472854640981,0.063922942206655,0.031085814360770576,0.010288966725043782,0.017732049036777584,0.024956217162872153
27,0.7013993541442411,0.061571582346609255,0.052960172228202367,0.029278794402583422,0.06350914962325081,0.02820236813778256,0.012055974165769645,0.020236813778256188,0.030785791173304627
28,0.678809957498482,0.06840720501922688,0.057478243270593,0.026108075288403157,0.0692167577413479,0.032989273426431896,0.01436956081764825,0.020036429872495445,0.03258449706537138
29,0.6677179962894249,0.06957328385899815,0.05658627087198516,0.02727272727272727,0.06938775510204082,0.038589981447124305,0.01150278293135436,0.023747680890538032,0.03562152133580705
30,0.6459071729957806,0.07341772151898734,0.05907172995780591,0.02869198312236287,0.0720675105485232,0.0379746835443038,0.010295358649789029,0.02869198312236287,0.04388185654008439
31,0.6234855545200373,0.08185771978875427,0.07036346691519105,0.023920472196334266,0.08014911463187326,0.03852127990059025,0.013668841255048152,0.02671637154395775,0.04131717924821373
32,0.6055759354365371,0.0789435069699193,0.07175348495964784,0.02641232575201761,0.08070432868672046,0.03609684519442406,0.01408657373440939,0.02876008804108584,0.05766691122523845
33,0.5919849381387843,0.08929532006455083,0.07988165680473373,0.0243410435718128,0.08136094674556213,0.035906401291016674,0.010892953200645508,0.029585798816568046,0.05675094136632598
34,0.5642668676969469,0.10767684382460108,0.07777358964694057,0.022615906520919715,0.0834275662771705,0.04246764668928257,0.011684885035808518,0.03128533735393894,0.05880135695439125
35,0.5558553034947885,0.10606989576946659,0.08203556100551809,0.020723482526057633,0.08461066830165542,0.045616186388718574,0.012507664009809932,0.03151440833844267,0.06106683016554261
36,0.5333976368459127,0.11357607909332047,0.0952495780081987,0.02531950807812877,0.08680974198215577,0.03978779840848806,0.01241861586689173,0.03146853146853147,0.06197251024837232
37,0.5149348402721716,0.12086264560027679,0.10760004613078077,0.02214277476646292,0.08280475147041863,0.041171721831392,0.01314727251758736,0.034021450813055014,0.06331449659785492
38,0.49781120215512403,0.1300931642159614,0.09978673251767875,0.024245145358626107,0.08923560444494331,0.03883713099113256,0.013918509372544617,0.03726568638455494,0.06880682455943428
39,0.4554985023534446,0.1490158322635858,0.1147839109970047,0.025139067180145486,0.08953786906290115,0.037869062901155326,0.015832263585793753,0.0366923406076166,0.0756311510483526
40,0.434597875569044,0.15660091047040972,0.12584724329792615,0.026909458775923115,0.08335862417804754,0.03995953464845726,0.01537683358624178,0.04319676277187658,0.07415275670207384
41,0.4174165457184325,0.17058538945331397,0.12694726656990807,0.02389937106918239,0.0876632801161103,0.04034833091436865,0.01509433962264151,0.04179970972423803,0.07624576681180455
42,0.3896400511602412,0.18381143796820756,0.13603142700529874,0.024483829709482915,0.08806870089530422,0.03773067787319569,0.01607893294354102,0.04567878677142335,0.07847615567330532
43,0.3839293445319941,0.1775045458481254,0.1416572863451381,0.02580309983548359,0.09057061217421422,0.03671313533639276,0.017057753918088146,0.04364014200363668,0.083124080006927
44,0.3605685312941568,0.18685063585736847,0.15418502202643172,0.02285761782063004,0.08910315019532873,0.038317679328401626,0.018286094256504033,0.04887374283101987,0.08095752639015875
45,0.32725330704132777,0.19940842987429136,0.16251745953496016,0.027031468244187003,0.08676361843726892,0.04239585900912004,0.02119792950456002,0.05118724837729028,0.0822446799769945
46,0.3086997936180346,0.21019209398317193,0.17534529290363549,0.026988410858866486,0.08191776472455946,0.04103826004127639,0.021590728687093188,0.052309890458802986,0.08191776472455946
47,0.2833372392781814,0.21521756112803686,0.18537614248886805,0.02577923599718772,0.08397781423326303,0.04343410671041325,0.02195141004609015,0.05788610264823061,0.08304038746972893
48,0.2647893808025781,0.22673214148699455,0.19343205708585898,0.02769891813089849,0.08302002608762372,0.03943834880687486,0.023248676436737514,0.06000153456610143,0.08163891659633239
49,0.2444523979957051,0.24044380816034358,0.2043664996420902,0.025769506084466716,0.08010021474588404,0.04094488188976378,0.024194702934860417,0.0619899785254116,0.07773801002147458
50,0.23300072688825746,0.24185554747901936,0.20795612238155026,0.02960417630344281,0.0761250247802815,0.044208022203132226,0.02431771624925659,0.062314147888720015,0.08061851582633979
51,0.2174016971435401,0.23807816421656508,0.22289948607625193,0.026712083183936895,0.0778056651129437,0.04069558981713876,0.030656149157404087,0.0678259830285646,0.07792518226365483
52,0.2047336645829994,0.25618421755623233,0.21712881337821233,0.027194529037773148,0.07485173906074691,0.042635037666292674,0.03162900037399156,0.07009670353154886,0.0755462948122028
53,0.1876004918187837,0.2550837037737634,0.23035089378605883,0.02913080488035562,0.0773668778965289,0.04218291875532015,0.03300860682871465,0.06544973044547432,0.07982597181500048
54,0.17727045340852243,0.2553094729182773,0.2409386511437537,0.029651189230979126,0.07394606394106144,0.042703169766701535,0.035563236163536315,0.06798853972440766,0.07662922370276047
55,0.17000301347453614,0.26096689482973867,0.24357484179258684,0.027723965732489562,0.07266778595720866,0.04236084205088467,0.038357225881441304,0.0676740281544621,0.07667140212665204
56,0.157704638610446,0.2555902763686539,0.25664542835112214,0.029381924434884948,0.06935595146300881,0.04330181404975447,0.04464104541211802,0.07053285175114646,0.0728460695588653
57,0.1420032129114208,0.2642806440766616,0.2565098815705906,0.031718160421414426,0.07143123995965181,0.04415885231815295,0.04662457503642545,0.06967534650876078,0.07359808719692158
58,0.13003644631691577,0.26227973384157555,0.2708396027685826,0.03126358377637342,0.06737553081218443,0.0453405557227405,0.050623599826127665,0.06881332129601765,0.0734276256394824
59,0.12081431873407218,0.2674391038937948,0.27624014698038285,0.03351508326912819,0.06623007171220292,0.04616843477745511,0.05375451905411012,0.06596337343685177,0.06987494814200201
60,0.11117944330062302,0.27353672558089787,0.27639776464611354,0.035375277413834595,0.06497499933153293,0.04505468060643333,0.058744886226904464,0.0667130137169443,0.06802320917671595
61,0.10381074294717148,0.2688690857170991,0.28747969080793656,0.036433459701639505,0.06442321894539904,0.04642804391708926,0.06124759982275614,0.06550637585544779,0.06580178228546107
62,0.09295806745670009,0.2694165907019143,0.29190975387420237,0.038833181403828625,0.06273928896991796,0.047174111212397445,0.06768459434822242,0.0640154968094804,0.06526891522333637
63,0.08465042083831832,0.2697773020170854,0.29456583338580694,0.03836870054362656,0.06424868291249501,0.04657557248703902,0.07209873433662868,0.0661167432781311,0.06359801020086896
64,0.07817220543806647,0.2755008745428526,0.3001272062331054,0.04096438225473048,0.06024407695977103,0.04712593417077437,0.07234854507870886,0.06501431070122436,0.060502464620766416
