Age,mx
0,0.00641
1,0.00043
2,0.00029
3,0.00022
4,0.00017
5,0.00015
6,0.00013
7,0.00012
8,0.00012
9,0.00012
10,0.00012
11,0.00013
12,0.00015
13,0.00019
14,0.00025
15,0.00034
16,0.00048
17,0.00063
18,0.00089
19,0.00102
20,0.00111
21,0.00126
22,0.00132
23,0.00135
24,0.0014
25,0.00144
26,0.00147
27,0.00151
28,0.00155
29,0.00159
30,0.00161
31,0.00166
32,0.0017
33,0.00175
34,0.00182
35,0.00187
36,0.00192
37,0.002
38,0.00208
39,0.00218
40,0.0023
41,0.00241
42,0.00256
43,0.00272
44,0.00295
45,0.00321
46,0.00353
47,0.00385
48,0.00419
49,0.0046
50,0.00505
51,0.00553
52,0.00603
53,0.00657
54,0.00716
55,0.00785
56,0.00847
57,0.00917
58,0.00986
59,0.01063
60,0.01138
61,0.01222
62,0.01311
63,0.01404
64,0.01494
65,0.01591
66,0.01705
67,0.01822
68,0.01961
69,0.0212
70,0.023
71,0.02505
72,0.02724
73,0.02971
74,0.03249
75,0.03569
76,0.039
77,0.04291
78,0.04686
79,0.05174
80,0.05789
81,0.06443
82,0.07187
83,0.0799
84,0.08984
85,0.10005
86,0.11189
87,0.12601
88,0.14139
89,0.15811
90,0.17781
91,0.19775
92,0.22171
93,0.24716
94,0.27258
95,0.2943
96,0.32204
97,0.35109
98,0.38129
99,0.41244
100,0.4443
101,0.47663
102,0.50915
103,0.5416
104,0.5737
105,0.60519
106,0.63583
107,0.66541
108,0.69374
109,0.72068
