Age,mx
0,0.00588
1,0.0004
2,0.00026
3,0.00019
4,0.00016
5,0.00013
6,0.00012
7,0.00011
8,0.00011
9,0.00011
10,0.00011
11,0.00012
12,0.00013
13,0.00016
14,0.0002
15,0.00026
16,0.00036
17,0.00046
18,0.00062
19,0.00071
20,0.00077
21,0.00086
22,0.0009
23,0.00093
24,0.00097
25,0.001
26,0.00103
27,0.00107
28,0.00111
29,0.00114
30,0.00118
31,0.00122
32,0.00127
33,0.00132
34,0.00137
35,0.00143
36,0.00149
37,0.00155
38,0.00163
39,0.00172
40,0.00182
41,0.00193
42,0.00206
43,0.00221
44,0.00239
45,0.00261
46,0.00287
47,0.00312
48,0.00341
49,0.00374
50,0.0041
51,0.00448
52,0.00487
53,0.00527
54,0.00574
55,0.00625
56,0.00674
57,0.00728
58,0.0078
59,0.00837
60,0.00898
61,0.00964
62,0.01035
63,0.01112
64,0.01189
65,0.01272
66,0.01367
67,0.01471
68,0.01592
69,0.01731
70,0.01888
71,0.0206
72,0.02251
73,0.02458
74,0.02694
75,0.02968
76,0.03248
77,0.0358
78,0.03928
79,0.04349
80,0.04893
81,0.05443
82,0.06096
83,0.06795
84,0.07634
85,0.08557
86,0.09559
87,0.10759
88,0.12059
89,0.13521
90,0.15238
91,0.1696
92,0.18943
93,0.21041
94,0.23365
95,0.25458
96,0.27963
97,0.30616
98,0.33408
99,0.36326
100,0.39354
101,0.42472
102,0.45657
103,0.48886
104,0.52132
105,0.55368
106,0.58566
107,0.61701
108,0.64748
109,0.67686
