sex,age,cause,val,upper,lower
Both,<1 year,Cardiovascular diseases,7.751695166902619,9.235879107096991,6.664752000644687
Both,<5 years,Cardiovascular diseases,2.2266399249690965,2.6269355198730566,1.9019950604274425
Both,2-4 years,Cardiovascular diseases,0.6217870644377899,0.7208411669381309,0.5470206043400996
Both,5-9 years,Cardiovascular diseases,0.4455889628776389,0.5394452953347878,0.3833610375409416
Both,10-14 years,Cardiovascular diseases,0.7225522358075945,0.8356753149814061,0.6324638018334382
Both,15-19 years,Cardiovascular diseases,1.6452820321116015,1.8586987846021727,1.4352088464952557
Both,20-24 years,Cardiovascular diseases,2.915877672995647,3.311454060824663,2.511925345745208
Both,25-29 years,Cardiovascular diseases,5.983234599322312,6.701044502189764,5.232174314126792
Both,30-34 years,Cardiovascular diseases,12.313602410856184,13.812254092823617,10.911111036103817
Both,35-39 years,Cardiovascular diseases,23.04556327714068,25.56875297190493,20.61998067645929
Both,40-44 years,Cardiovascular diseases,42.57334701586159,46.36053018309124,39.26709233995312
Both,45-49 years,Cardiovascular diseases,69.92947937322555,74.71287438712031,65.19118805441425
Both,50-54 years,Cardiovascular diseases,113.94426073337225,119.54725213505615,107.85647655061652
Both,55-59 years,Cardiovascular diseases,183.14217080520825,190.84379118453316,175.2430651686201
Both,60-64 years,Cardiovascular diseases,281.84145276656227,291.3911107634114,269.7284275549624
Both,65-69 years,Cardiovascular diseases,397.9106183213931,413.4495822743529,377.4990394145978
Both,70-74 years,Cardiovascular diseases,602.1850371842788,628.4034727674647,562.3617149446098
Both,75-79 years,Cardiovascular diseases,981.4331083639374,1038.3071469204028,895.9183973289614
Both,80-84 years,Cardiovascular diseases,1812.5368869295153,1968.2264217817783,1547.365648148262
Both,85-89 years,Cardiovascular diseases,3558.6143808076563,3940.319760609679,2785.2005242712357
Both,90-94 years,Cardiovascular diseases,7159.778826852748,8096.87336590799,5485.9942467689325
Both,95+ years,Cardiovascular diseases,12550.632980566985,14532.071233455405,9009.370336012606
Both,<1 year,Chronic respiratory diseases,0.9586494984618804,1.1823081351001183,0.7685814702354408
Both,<5 years,Chronic respiratory diseases,0.5640640220230403,0.6805664589261656,0.4667897254105765
Both,2-4 years,Chronic respiratory diseases,0.3392239680786845,0.4043306450627822,0.283038926036235
Both,5-9 years,Chronic respiratory diseases,0.3528273988474097,0.4188053089580198,0.2975511745712946
Both,10-14 years,Chronic respiratory diseases,0.4584191439953186,0.5373865006248244,0.3871610327772838
