sex,cause,age,val,upper,lower
Both,Cardiovascular diseases,0,7.751695166902619,9.235879107096991,6.664752000644687
Both,Cardiovascular diseases,1,5.759467209295255,6.854510103581061,4.956249596566443
Both,Cardiovascular diseases,2,2.221601964837809,2.6253066847826765,1.9223541397172201
Both,Cardiovascular diseases,3,0.6217870644377899,0.7208411669381309,0.5470206043400996
Both,Cardiovascular diseases,4,0.5415210150458938,0.6380743941003912,0.4725378507311743
Both,Cardiovascular diseases,5,0.48681237274827216,0.5817666374478216,0.4217144242324701
Both,Cardiovascular diseases,6,0.4555415509053717,0.549647177639571,0.39262919608779107
Both,Cardiovascular diseases,7,0.4455889628776389,0.5394452953347878,0.3833610375409416
Both,Cardiovascular diseases,8,0.46075966871626717,0.5555515569631964,0.39710073232320375
Both,Cardiovascular diseases,9,0.502179611310722,0.5996132810058782,0.43454423245942786
Both,Cardiovascular diseases,10,0.5637105282788581,0.6652448761990175,0.4900281616337706
Both,Cardiovascular diseases,11,0.6392141572385308,0.7460607512787988,0.5578891435303885
Both,Cardiovascular diseases,12,0.7225522358075945,0.8356753149814061,0.6324638018334382
Both,Cardiovascular diseases,13,0.8388395814220825,0.9624573845853128,0.7351848671653858
Both,Cardiovascular diseases,14,1.0060724054075654,1.146680009466659,0.8814843543345723
Both,Cardiovascular diseases,15,1.207434536216205,1.369813946508128,1.0566978133039668
Both,Cardiovascular diseases,16,1.426109802300163,1.6133299525924047,1.2461607940365382
Both,Cardiovascular diseases,17,1.6452820321116015,1.8586987846021727,1.4352088464952557
Both,Cardiovascular diseases,18,1.8567659159063696,2.0983789385438967,1.6155480344998505
Both,Cardiovascular diseases,19,2.0739791237401892,2.3477068607561535,1.798552144507702
Both,Cardiovascular diseases,20,2.312509953765028,2.622470233619798,1.9990583104382513
Both,Cardiovascular diseases,21,2.587946704132857,2.938456739515683,2.2319036662109397
Both,Cardiovascular diseases,22,2.915877672995647,3.311454060824663,2.511925345745208
Both,Cardiovascular diseases,23,3.3326460205990327,3.7773922899524415,2.8745954057555267
Both,Cardiovascular diseases,24,3.857627979865759,4.356734018091628,3.3384788212455803
Both,Cardiovascular diseases,25,4.480961457963461,5.0420656758034355,3.893052103568633
Both,Cardiovascular diseases,26,5.192784362059767,5.825973693649078,4.527791764077949
Both,Cardiovascular diseases,27,5.983234599322312,6.701044502189764,5.232174314126792
Both,Cardiovascular diseases,28,6.915708341145733,7.744661770913924,6.064310848404412
Both,Cardiovascular diseases,29,8.042098689772079,9.01452747509726,7.072905987515103
Both,Cardiovascular diseases,30,9.335288948640104,10.473705503981904,8.233326531684684
Both,Cardiovascular diseases,31,10.768162421188554,12.08525974680998,9.52093928113898
Both,Cardiovascular diseases,32,12.313602410856184,13.812254092823617,10.911111036103817
Both,Cardiovascular diseases,33,14.005796356927434,15.688625615083048,12.429491044887243
Both,Cardiovascular diseases,34,15.908241464473145,17.784745781940607,14.134717618713859
Both,Cardiovascular diseases,35,18.037785685611684,20.118330075576587,16.051641152184313
Both,Cardiovascular diseases,36,20.41127697246141,22.70709397817126,18.205112039899237
Both,Cardiovascular diseases,37,23.04556327714068,25.56875297190493,20.61998067645929
Both,Cardiovascular diseases,38,26.12021596590413,28.88596980859146,23.499614996868104
Both,Cardiovascular diseases,39,29.72627293581967,32.74726053037607,26.9401469332061
Both,Cardiovascular diseases,40,33.747781935225575,37.029120554936036,30.805572875689077
Both,Cardiovascular diseases,41,38.06879071246012,41.60804529994867,34.959889214532815
Both,Cardiovascular diseases,42,42.57334701586159,46.36053018309124,39.26709233995312
Both,Cardiovascular diseases,43,47.25557751363852,51.26835780032562,43.70766645418485
Both,Cardiovascular diseases,44,52.24506862436969,56.46039069323555,48.41980413269014
Both,Cardiovascular diseases,45,57.62905772194881,62.0337441979312,53.50406432552567
Both,Cardiovascular diseases,46,63.49478218026954,68.08553365052273,59.061005982748135
Both,Cardiovascular diseases,47,69.92947937322555,74.71287438712031,65.19118805441425
Both,Cardiovascular diseases,48,77.1041297999871,82.0604241943241,72.0846056360739
Both,Cardiovascular diseases,49,85.11610668603024,90.21191312988434,79.83766602455306
Both,Cardiovascular diseases,50,93.94223649470726,99.17306493663628,88.41054647182264
Both,Cardiovascular diseases,51,103.55934568937049,108.94960335741513,97.76342422985351
Both,Cardiovascular diseases,52,113.94426073337225,119.54725213505615,107.85647655061652
Both,Cardiovascular diseases,53,125.42452753667301,131.33872583073318,119.03522950678133
Both,Cardiovascular diseases,54,138.23966539840183,144.56140053964572,131.5483605404878
Both,Cardiovascular diseases,55,152.23446086566386,159.0179923056674,145.21077395791227
Both,Cardiovascular diseases,56,167.2537004855643,174.51121717267202,159.8373740652309
Both,Cardiovascular diseases,57,183.14217080520825,190.84379118453316,175.2430651686201
Both,Cardiovascular diseases,58,200.40674085163187,208.45163074135954,191.91687394737178
Both,Cardiovascular diseases,59,219.35823480067225,227.66541791947068,210.16366035614902
Both,Cardiovascular diseases,60,239.54737192263624,248.13001727705645,229.52207861418466
Both,Cardiovascular diseases,61,260.52487148783064,269.4902933723067,249.5307829407115
Both,Cardiovascular diseases,62,281.84145276656227,291.3911107634114,269.7284275549624
Both,Cardiovascular diseases,63,302.831011349414,313.21642509089486,289.4679208973125
Both,Cardiovascular diseases,64,323.84926086658743,335.2861411361851,309.09173265896965
Both,Cardiovascular diseases,65,345.9796476478183,358.6490471688278,329.62285893541514
Both,Cardiovascular diseases,66,370.30561802284166,384.3539314583685,352.0842958221307
Both,Cardiovascular diseases,67,397.9106183213931,413.4495822743529,377.4990394145978
Both,Cardiovascular diseases,68,429.60589789196973,446.7102296440424,406.54116023183195
Both,Cardiovascular diseases,69,465.64063694336596,484.4609238002801,439.3410341148966
Both,Cardiovascular diseases,70,506.2551780957623,527.0766833209843,476.10611514234546
Both,Cardiovascular diseases,71,551.6898639693396,574.9325267840732,517.043857392732
Both,Cardiovascular diseases,72,602.1850371842788,628.4034727674647,562.3617149446098
Both,Cardiovascular diseases,73,658.9477779904314,688.9238070184624,613.3823560376404
Both,Cardiovascular diseases,74,723.9165451391063,758.6764183631565,671.6734256445061
Both,Cardiovascular diseases,75,798.4287490026712,839.1592299976456,737.8098429432915
Both,Cardiovascular diseases,76,883.8217999534925,931.8701651180282,812.3665271120817
Both,Cardiovascular diseases,77,981.4331083639374,1038.3071469204028,895.9183973289614
Both,Cardiovascular diseases,78,1098.496868080721,1167.4063776527578,992.8267125976987
Both,Cardiovascular diseases,79,1240.869049939656,1326.242434661439,1106.811909607602
Both,Cardiovascular diseases,80,1407.8197297967572,1513.52080379008,1237.4876740650668
Both,Cardiovascular diseases,81,1598.618983508039,1727.946970882315,1384.4676916764881
Both,Cardiovascular diseases,82,1812.5368869295153,1968.2264217817783,1547.365648148262
