icd10_prefix,cause_id,cause_name,level
A00,302,Diarrheal diseases,3
A01,319,Typhoid fever,4
A02,302,Diarrheal diseases,3
A03,302,Diarrheal diseases,3
A04,302,Diarrheal diseases,3
A05,302,Diarrheal diseases,3
A06,302,Diarrheal diseases,3
A07,302,Diarrheal diseases,3
A08,302,Diarrheal diseases,3
A09,302,Diarrheal diseases,3
A10,934,Drug-susceptible tuberculosis,4
A11,934,Drug-susceptible tuberculosis,4
A12,934,Drug-susceptible tuberculosis,4
A13,934,Drug-susceptible tuberculosis,4
A14,934,Drug-susceptible tuberculosis,4
A15,934,Drug-susceptible tuberculosis,4
A16,934,Drug-susceptible tuberculosis,4
A17,934,Drug-susceptible tuberculosis,4
A18,934,Drug-susceptible tuberculosis,4
A19,934,Drug-susceptible tuberculosis,4
A20,408,Other unspecified infectious diseases,3
A21,408,Other unspecified infectious diseases,3
A22,408,Other unspecified infectious diseases,3
A23,408,Other unspecified infectious diseases,3
A24,408,Other unspecified infectious diseases,3
A25,408,Other unspecified infectious diseases,3
A26,408,Other unspecified infectious diseases,3
A27,408,Other unspecified infectious diseases,3
A28,408,Other unspecified infectious diseases,3
A29,408,Other unspecified infectious diseases,3
A30,405,Leprosy,3
A31,408,Other unspecified infectious diseases,3
A32,408,Other unspecified infectious diseases,3
A33,340,Tetanus,3
A34,340,Tetanus,3
A35,340,Tetanus,3
A36,338,Diphtheria,3
A37,339,Pertussis,3
A38,408,Other unspecified infectious diseases,3
A39,332,Meningitis,3
A40,961,Other infectious diseases,2
A41,961,Other infectious diseases,2
A42,408,Other unspecified infectious diseases,3
A43,408,Other unspecified infectious diseases,3
A44,408,Other unspecified infectious diseases,3
A45,408,Other unspecified infectious diseases,3
A46,657,Pyoderma,4
A47,408,Other unspecified infectious diseases,3
A48,322,Lower respiratory infections,3
A49,408,Other unspecified infectious diseases,3
A50,394,Syphilis,4
A51,394,Syphilis,4
A52,394,Syphilis,4
A53,394,Syphilis,4
A54,396,Gonococcal infection,4
A55,395,Chlamydial infection,4
A56,395,Chlamydial infection,4
A57,399,Other sexually transmitted infections,4
A58,399,Other sexually transmitted infections,4
A59,397,Trichomoniasis,4
A60,398,Genital herpes,4
A61,408,Other unspecified infectious diseases,3
