cause_id,cause_name,level,icd10_start,icd10_end
955,HIV/AIDS and sexually transmitted infections,2,A50,A60.9
955,HIV/AIDS and sexually transmitted infections,2,A63,A64.0
955,HIV/AIDS and sexually transmitted infections,2,B20,B23.8
955,HIV/AIDS and sexually transmitted infections,2,B24,B24.0
955,HIV/AIDS and sexually transmitted infections,2,B63,B63
955,HIV/AIDS and sexually transmitted infections,2,B97.81,B97.81
955,HIV/AIDS and sexually transmitted infections,2,C46,C46.52
955,HIV/AIDS and sexually transmitted infections,2,C46.7,C46.9
955,HIV/AIDS and sexually transmitted infections,2,F02.4,F02.4
955,HIV/AIDS and sexually transmitted infections,2,I98.0,I98.0
955,HIV/AIDS and sexually transmitted infections,2,K67.0,K67.2
955,HIV/AIDS and sexually transmitted infections,2,M73.0,M73.8
955,HIV/AIDS and sexually transmitted infections,2,N70,N71.9
955,HIV/AIDS and sexually transmitted infections,2,N73,N74
955,HIV/AIDS and sexually transmitted infections,2,N74.2,N74.8
955,HIV/AIDS and sexually transmitted infections,2,O98.7,O98.73
955,HIV/AIDS and sexually transmitted infections,2,Z11.4,Z11.4
955,HIV/AIDS and sexually transmitted infections,2,Z20.6,Z21
955,HIV/AIDS and sexually transmitted infections,2,Z83.0,Z83.0
298,HIV/AIDS,3,B20,B23.8
298,HIV/AIDS,3,B24,B24.0
298,HIV/AIDS,3,B97.81,B97.81
298,HIV/AIDS,3,C46,C46.52
298,HIV/AIDS,3,C46.7,C46.9
298,HIV/AIDS,3,F02.4,F02.4
298,HIV/AIDS,3,O98.7,O98.73
298,HIV/AIDS,3,Z11.4,Z11.4
298,HIV/AIDS,3,Z20.6,Z21
298,HIV/AIDS,3,Z83.0,Z83.0
948,HIV/AIDS - Drug-susceptible Tuberculosis,4,B20.0,B20.0
300,HIV/AIDS resulting in other diseases,4,B20.1,B23.8
300,HIV/AIDS resulting in other diseases,4,B24,B24.0
300,HIV/AIDS resulting in other diseases,4,B97.81,B97.81
300,HIV/AIDS resulting in other diseases,4,C46,C46.52
300,HIV/AIDS resulting in other diseases,4,C46.7,C46.9
300,HIV/AIDS resulting in other diseases,4,F02.4,F02.4
393,Sexually transmitted infections excluding HIV,3,A50,A60.9
393,Sexually transmitted infections excluding HIV,3,A63,A64.0
393,Sexually transmitted infections excluding HIV,3,B63,B63
393,Sexually transmitted infections excluding HIV,3,I98.0,I98.0
393,Sexually transmitted infections excluding HIV,3,K67.0,K67.2
393,Sexually transmitted infections excluding HIV,3,M73.0,M73.8
393,Sexually transmitted infections excluding HIV,3,N70,N71.9
393,Sexually transmitted infections excluding HIV,3,N73,N74
393,Sexually transmitted infections excluding HIV,3,N74.2,N74.8
394,Syphilis,4,A50,A53.9
394,Syphilis,4,I98.0,I98.0
394,Syphilis,4,K67.2,K67.2
394,Syphilis,4,M73.1,M73.8
395,Chlamydial infection,4,A55,A56.8
395,Chlamydial infection,4,K67.0,K67.0
395,Chlamydial infection,4,N74.4,N74.4
396,Gonococcal infection,4,A54,A54.9
396,Gonococcal infection,4,K67.1,K67.1
396,Gonococcal infection,4,M73.0,M73.0
396,Gonococcal infection,4,N74.3,N74.3
397,Trichomoniasis,4,A59,A59.9
398,Genital herpes,4,A60,A60.9
399,Other sexually transmitted infections,4,A57,A58
399,Other sexually transmitted infections,4,A63,A64.0
399,Other sexually transmitted infections,4,B63,B63
399,Other sexually transmitted infections,4,N70,N71.9
399,Other sexually transmitted infections,4,N73,N74
399,Other sexually transmitted infections,4,N74.2,N74.2
399,Other sexually transmitted infections,4,N74.8,N74.8
956,Respiratory infections and tuberculosis,2,A10,A14
956,Respiratory infections and tuberculosis,2,A15,A18.89
956,Respiratory infections and tuberculosis,2,A19,A19.9
956,Respiratory infections and tuberculosis,2,A48.1,A48.1
956,Respiratory infections and tuberculosis,2,A70,A70
956,Respiratory infections and tuberculosis,2,B90,B90.9
956,Respiratory infections and tuberculosis,2,B96.0,B96.1
956,Respiratory infections and tuberculosis,2,B97.21,B97.21
956,Respiratory infections and tuberculosis,2,B97.4,B97.6
956,Respiratory infections and tuberculosis,2,H65,H70.93
956,Respiratory infections and tuberculosis,2,J00,J06.9
956,Respiratory infections and tuberculosis,2,J09,J18.2
956,Respiratory infections and tuberculosis,2,J18.8,J18.9
956,Respiratory infections and tuberculosis,2,J19.6,J22.9
956,Respiratory infections and tuberculosis,2,J36,J36.0
956,Respiratory infections and tuberculosis,2,J85.1,J85.1
956,Respiratory infections and tuberculosis,2,J91.0,J91.0
956,Respiratory infections and tuberculosis,2,K67.3,K67.3
956,Respiratory infections and tuberculosis,2,K93.0,K93.0
956,Respiratory infections and tuberculosis,2,M49.0,M49.0
956,Respiratory infections and tuberculosis,2,N74.0,N74.1
956,Respiratory infections and tuberculosis,2,P23,P23.9
956,Respiratory infections and tuberculosis,2,P37.0,P37.0
956,Respiratory infections and tuberculosis,2,U04,U04.9
956,Respiratory infections and tuberculosis,2,U84.3,U84.3
297,Tuberculosis,3,A10,A14
297,Tuberculosis,3,A15,A18.89
297,Tuberculosis,3,A19,A19.9
297,Tuberculosis,3,B90,B90.9
297,Tuberculosis,3,K67.3,K67.3
297,Tuberculosis,3,K93.0,K93.0
297,Tuberculosis,3,M49.0,M49.0
297,Tuberculosis,3,N74.0,N74.1
297,Tuberculosis,3,P37.0,P37.0
297,Tuberculosis,3,U84.3,U84.3
934,Drug-susceptible tuberculosis,4,A10,A14
934,Drug-susceptible tuberculosis,4,A15,A18.89
934,Drug-susceptible tuberculosis,4,A19,A19.9
934,Drug-susceptible tuberculosis,4,B90,B90.9
934,Drug-susceptible tuberculosis,4,K67.3,K67.3
934,Drug-susceptible tuberculosis,4,K93.0,K93.0
934,Drug-susceptible tuberculosis,4,M49.0,M49.0
934,Drug-susceptible tuberculosis,4,N74.0,N74.1
934,Drug-susceptible tuberculosis,4,P37.0,P37.0
946,Multidrug-resistant tuberculosis without extensive drug resistance,4,U84.3,U84.3
322,Lower respiratory infections,3,A48.1,A48.1
322,Lower respiratory infections,3,A70,A70
322,Lower respiratory infections,3,B96.0,B96.1
322,Lower respiratory infections,3,B97.21,B97.21
322,Lower respiratory infections,3,B97.4,B97.6
322,Lower respiratory infections,3,J09,J18.2
322,Lower respiratory infections,3,J18.8,J18.9
322,Lower respiratory infections,3,J19.6,J22.9
322,Lower respiratory infections,3,J85.1,J85.1
322,Lower respiratory infections,3,J91.0,J91.0
322,Lower respiratory infections,3,P23,P23.9
322,Lower respiratory infections,3,U04,U04.9
328,Upper respiratory infections,3,J00,J06.9
328,Upper respiratory infections,3,J36,J36.0
329,Otitis media,3,H65,H70.93
957,Enteric infections,2,A00,A08.8
957,Enteric infections,2,A09,A09
957,Enteric infections,2,A80,A80.9
957,Enteric infections,2,B91,B91
957,Enteric infections,2,K52.1,K52.1
