sex,age,cause,val,upper,lower
Both,<1 year,Cardiovascular diseases,33.48867616877,42.43485674092,26.60331789833
Both,<5 years,Cardiovascular diseases,30.81846120963,39.27361856432,24.525160941600003
Both,2-4 years,Cardiovascular diseases,28.62236682001,38.03336339064,22.20840233671
Both,5-9 years,Cardiovascular diseases,20.27021993929,27.931643535520003,14.36864620236
Both,10-14 years,Cardiovascular diseases,21.01272097187,29.01714524953,14.76940723573
Both,15-19 years,Cardiovascular diseases,33.10133890016,44.36322753854,23.7377469485
Both,20-24 years,Cardiovascular diseases,46.87749472016,58.991855608399995,36.47070853528
Both,25-29 years,Cardiovascular diseases,59.56514822853,73.00829178837,47.80715757915
Both,30-34 years,Cardiovascular diseases,96.84703444238,116.45604667962,82.55636920517999
Both,35-39 years,Cardiovascular diseases,159.01718379964,191.04109782173,134.26614328452
Both,40-44 years,Cardiovascular diseases,320.94108748233,359.66997808029,284.85250353337
Both,45-49 years,Cardiovascular diseases,502.9599943863,585.7206587816099,425.42988059087
Both,50-54 years,Cardiovascular diseases,828.11824344787,930.78979924501,718.73510693143
Both,55-59 years,Cardiovascular diseases,1283.9948286449,1568.85746479834,1064.19316301579
Both,60-64 years,Cardiovascular diseases,2158.56277881338,2468.37125349493,1896.91793868556
Both,65-69 years,Cardiovascular diseases,3411.47580913098,3932.19347856422,2980.33157302973
Both,70-74 years,Cardiovascular diseases,4446.70416902092,4989.38962228957,3953.7520752212904
Both,75-79 years,Cardiovascular diseases,5310.60977558806,6364.20846004537,4373.4802603041
Both,80-84 years,Cardiovascular diseases,6433.355085105851,7491.732553008889,5513.10400051069
Both,85-89 years,Cardiovascular diseases,7679.47023371956,9853.7429887645,6109.847588266501
Both,90-94 years,Cardiovascular diseases,8725.63960273604,10287.68953564438,7288.86443999826
Both,95+ years,Cardiovascular diseases,9667.03232578522,12052.10663550987,7520.919622230531
Both,<1 year,Chronic respiratory diseases,0.0,0.0,0.0
Both,<5 years,Chronic respiratory diseases,3049.14579888168,4388.27073882079,1990.64145921716
Both,2-4 years,Chronic respiratory diseases,3120.94853277067,4798.15725878704,1713.63844232962
Both,5-9 years,Chronic respiratory diseases,1196.10160272657,2133.18403036129,571.69888011895
Both,10-14 years,Chronic respiratory diseases,616.69285942038,1166.66548051239,268.07507994512
Both,15-19 years,Chronic respiratory diseases,443.75567128482,801.3539504415501,189.72630547303
Both,20-24 years,Chronic respiratory diseases,376.62090456748,723.41018765001,159.00460229866
Both,25-29 years,Chronic respiratory diseases,386.06921563523,648.87624575007,216.77537529606
Both,30-34 years,Chronic respiratory diseases,402.02974454828,639.75694651728,227.15809442859
Both,35-39 years,Chronic respiratory diseases,423.8031671544901,694.3598758271401,241.18802813088
Both,40-44 years,Chronic respiratory diseases,558.9529905158901,857.41793742579,352.22911673912
Both,45-49 years,Chronic respiratory diseases,737.79147932722,1022.15092675421,538.09358785935
Both,50-54 years,Chronic respiratory diseases,779.38824481853,1071.32088192703,589.07354479314
Both,55-59 years,Chronic respiratory diseases,767.3484090167,1060.42148088215,571.99886881932
Both,60-64 years,Chronic respiratory diseases,1334.30273632611,1663.7018360221498,1070.78863125814
Both,65-69 years,Chronic respiratory diseases,1943.55530953883,2368.03590440125,1636.7864034964
Both,70-74 years,Chronic respiratory diseases,2160.54110801525,2646.58422684955,1715.6654675599
Both,75-79 years,Chronic respiratory diseases,2076.32193634565,2475.62492157651,1640.99011588303
Both,80-84 years,Chronic respiratory diseases,1749.0960074860202,2255.9300955270996,1313.80612061643
Both,85-89 years,Chronic respiratory diseases,1560.65011414997,2108.81301318636,1203.00850182161
Both,90-94 years,Chronic respiratory diseases,1538.1774039491102,2089.00039976555,1116.21576194549
Both,95+ years,Chronic respiratory diseases,1613.68326569323,2417.35137852034,1033.71234136271
Both,<1 year,"Communicable, maternal, neonatal, and nutritional diseases",801411.2261578622,895403.2077820248,686097.2477267521
Both,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",732792.5098352979,842108.6656890615,627575.7199474775
Both,2-4 years,"Communicable, maternal, neonatal, and nutritional diseases",706279.9099436855,857500.8825391087,565170.6810083978
Both,5-9 years,"Communicable, maternal, neonatal, and nutritional diseases",545376.705133944,683535.6656133254,433847.7922972386
Both,10-14 years,"Communicable, maternal, neonatal, and nutritional diseases",473835.6323753052,588480.0144015244,371921.5227094474
Both,15-19 years,"Communicable, maternal, neonatal, and nutritional diseases",462479.1409886133,579996.5560079354,366764.20191435784
Both,20-24 years,"Communicable, maternal, neonatal, and nutritional diseases",454909.5345016377,565390.120539917,362105.953451501
Both,25-29 years,"Communicable, maternal, neonatal, and nutritional diseases",438253.2971331339,549008.2357277212,355708.3083366728
Both,30-34 years,"Communicable, maternal, neonatal, and nutritional diseases",408294.0038945678,511157.67396540334,317484.5600828444
Both,35-39 years,"Communicable, maternal, neonatal, and nutritional diseases",403933.2709660335,505164.87181323254,318370.693468518
Both,40-44 years,"Communicable, maternal, neonatal, and nutritional diseases",385431.53777043446,502663.97723301355,297945.66601317876
Both,45-49 years,"Communicable, maternal, neonatal, and nutritional diseases",374514.3055605753,476357.7812858176,292207.4585604196
Both,50-54 years,"Communicable, maternal, neonatal, and nutritional diseases",356006.6570571988,447438.528129074,274887.7796965078
