sex,cause,age,val,upper,lower
Both,Cardiovascular diseases,0,33.48867616877,42.43485674092,26.60331789833
Both,Cardiovascular diseases,1,32.53785953803241,41.671577769390716,25.75621596621677
Both,Cardiovascular diseases,2,30.604580451689934,39.96754970166008,24.01661565279592
Both,Cardiovascular diseases,3,28.62236682001,38.03336339064,22.20840233671
Both,Cardiovascular diseases,4,26.187069335960643,35.303713290065026,19.94520405257861
Both,Cardiovascular diseases,5,23.441604905039465,31.959164464668916,17.365647480077932
Both,Cardiovascular diseases,6,21.19848471142355,29.126285138478345,15.247529302305788
Both,Cardiovascular diseases,7,20.27021993929,27.931643535520003,14.36864620236
Both,Cardiovascular diseases,8,20.30266983415189,27.979653063875496,14.385773760937326
Both,Cardiovascular diseases,9,20.397269665178857,28.119092189146887,14.436059319426773
Both,Cardiovascular diseases,10,20.549894652032886,28.34307672164153,14.51785720196456
Both,Cardiovascular diseases,11,20.75642001437594,28.644722471666782,14.629521732686898
Both,Cardiovascular diseases,12,21.01272097187,29.01714524953,14.76940723573
Both,Cardiovascular diseases,13,22.036943351422522,30.39334780136746,15.4635491535559
Both,Cardiovascular diseases,14,24.233156233710908,33.27297632234121,17.02642966101983
Both,Cardiovascular diseases,15,27.12611971905204,36.99911179629721,19.139073180847813
Both,Cardiovascular diseases,16,30.24059390776278,40.91483520708148,21.482504135765865
Both,Cardiovascular diseases,17,33.10133890016,44.36322753854,23.7377469485
Both,Cardiovascular diseases,18,35.75965344833249,47.34377558978812,26.025247870413267
Both,Cardiovascular diseases,19,38.53676826426217,50.295112271385605,28.583779918649984
Both,Cardiovascular diseases,20,41.36234138810561,53.219037734345015,31.27185766460806
Both,Cardiovascular diseases,21,44.16603086001936,56.11735212967894,33.94799567968542
Both,Cardiovascular diseases,22,46.87749472016,58.991855608399995,36.47070853528
Both,Cardiovascular diseases,23,49.28199483974727,61.60376514450154,38.63789435368189
Both,Cardiovascular diseases,24,51.42821673808907,63.95240397900086,40.54711779265749
Both,Cardiovascular diseases,25,53.640953927474236,66.39673166344643,42.50639322681915
Both,Cardiovascular diseases,26,56.2449999201916,69.29570774938665,44.823735030779204
Both,Cardiovascular diseases,27,59.56514822853,73.00829178837,47.80715757915
Both,Cardiovascular diseases,28,64.37422293877233,78.48274508965152,52.279211972233945
Both,Cardiovascular diseases,29,70.93989104351675,86.08271244863927,58.5103279689067
Both,Cardiovascular diseases,30,78.82921041452501,95.29022864611126,65.98033793164048
Both,Cardiovascular diseases,31,87.60923892355885,105.5873284628455,74.1690742229075
Both,Cardiovascular diseases,32,96.84703444238,116.45604667962,82.55636920517999
Both,Cardiovascular diseases,33,106.40401265131737,127.93169207970905,90.79113496033294
Both,Cardiovascular diseases,34,116.81793706632007,140.6881381131068,99.35323529549326
Both,Cardiovascular diseases,35,128.6703873125801,155.165266560671,108.96893016101114
Both,Cardiovascular diseases,36,142.54294301528938,171.8029592032595,120.36447950723668
Both,Cardiovascular diseases,37,159.01718379964,191.04109782173,134.26614328452
Both,Cardiovascular diseases,38,181.8730934055065,215.63568973187688,155.12796691207825
