Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Both sexes,2023,0,0,0,
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,10-14 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,10-14 years,Both sexes,2023,316.15,510.86,177.22
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,10-14 years,Both sexes,2023,3.14,4.4,2.19
All Population,Prevalence,Rate,Motor neuron disease,United States of America,10-14 years,Both sexes,2023,4.82,5.71,4.08
All Population,Prevalence,Rate,Parkinson's disease,United States of America,15-19 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,15-19 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,15-19 years,Both sexes,2023,357.92,523.36,211
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,15-19 years,Both sexes,2023,12.96,17.14,10.15
All Population,Prevalence,Rate,Motor neuron disease,United States of America,15-19 years,Both sexes,2023,4.78,5.64,4.05
All Population,Prevalence,Rate,Parkinson's disease,United States of America,20-24 years,Both sexes,2023,0.12,0.2,0.05
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,20-24 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,20-24 years,Both sexes,2023,389.87,583.64,230.94
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,20-24 years,Both sexes,2023,41.15,52.29,32.65
All Population,Prevalence,Rate,Motor neuron disease,United States of America,20-24 years,Both sexes,2023,4.7,5.52,3.96
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,25-29 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,25-29 years,Both sexes,2023,0.82,1.35,0.36
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,25-29 years,Both sexes,2023,410.65,600.36,231.36
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,25-29 years,Both sexes,2023,90.8,109,73.25
All Population,Prevalence,Rate,Motor neuron disease,United States of America,25-29 years,Both sexes,2023,4.58,5.35,3.89
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,30-34 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,30-34 years,Both sexes,2023,2.37,3.48,1.37
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,30-34 years,Both sexes,2023,421.19,608.11,249.01
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,30-34 years,Both sexes,2023,146.18,165.96,126.22
All Population,Prevalence,Rate,Motor neuron disease,United States of America,30-34 years,Both sexes,2023,4.51,5.33,3.83
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,35-39 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,35-39 years,Both sexes,2023,5.4,6.87,3.9
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,35-39 years,Both sexes,2023,420.72,605.29,244.78
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,35-39 years,Both sexes,2023,189.99,213.61,168.35
All Population,Prevalence,Rate,Motor neuron disease,United States of America,35-39 years,Both sexes,2023,4.91,5.99,4.05
