cause_id,cause_name,parent_id,level,sex,age,val,upper,lower
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,<5 years,24702.83340768412,26643.269231020473,22872.82556111808
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,5-9 years,19921.03561856867,22646.14515513882,17913.46019008978
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,10-14 years,23739.01272684777,26662.979564339726,20866.66682758751
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,15-19 years,32339.74774342112,36677.61793834715,28918.42159732276
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,20-24 years,40533.28442150866,45094.62565376255,36521.99104334596
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,25-29 years,45599.498922846185,49131.525054990336,41806.111066763864
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,30-34 years,49413.01606520902,53910.71056659281,44675.966044353496
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,35-39 years,52191.578638487365,57316.98447834821,47168.896870618686
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,40-44 years,52394.02615980144,57823.812403567485,47568.12058379659
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,45-49 years,51290.49835013064,56628.627718317795,46379.70652615907
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,50-54 years,48411.40455976317,54113.602731951,42989.21056670032
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,55-59 years,48522.30089588859,53788.391668710356,43508.7089739311
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,60-64 years,47238.08980541522,52626.626317733695,42725.39849399487
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,65-69 years,44780.0974076025,49642.39592947976,40265.3735392089
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,70-74 years,42272.55562862105,47245.35347946775,37901.91546614585
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,75-79 years,40233.65302204911,44747.93137532228,35556.23025843206
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,80-84 years,38795.92837205372,42459.046650690216,34977.57688322678
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,85-89 years,36741.24872099756,40218.1542900851,33391.99043668038
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,90-94 years,36183.84928195921,39794.9511224584,32250.61541797793
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Both,95+ years,35512.87153320772,39182.16047817069,31894.60880078182
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,<5 years,23540.9884729224,26273.709906070257,21259.45254225396
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,5-9 years,19724.19705211109,22761.91807407674,17014.36397148598
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,10-14 years,24453.87728450987,28455.654674383008,20922.94069123265
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,15-19 years,35289.97427229814,40769.7012211078,30897.08576106973
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,20-24 years,43854.95535916527,48733.26253594749,39988.64025154861
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,25-29 years,50245.96550741704,54136.45533802012,46071.20508224704
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,30-34 years,55506.28056942782,61028.95048318137,50172.76077260578
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,35-39 years,58927.72355781888,64226.43105878082,54352.72827284916
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,40-44 years,58569.831616463474,64045.0211972072,53500.90302562014
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,45-49 years,55876.43441518595,60637.049710765525,51350.26603348681
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,50-54 years,51840.23463320714,56767.07438184055,46793.75757569429
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,55-59 years,50101.440225439655,54588.76883218655,45363.121394485526
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,60-64 years,48458.74455254699,53658.26352924302,44150.946346322475
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,65-69 years,45336.370175804106,49802.69051601034,40846.90699695673
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,70-74 years,42722.749346921366,46827.0551126527,38582.16932381548
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,75-79 years,40163.81777625706,45096.00867394799,35725.371539621556
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,80-84 years,37911.682544947325,42343.06435599952,34163.40974423157
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,85-89 years,37013.02937702954,41670.12171547947,33186.26910173378
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,90-94 years,36034.22321200619,40089.47828717711,32296.8011021665
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Female,95+ years,35506.205165392006,39767.23944890086,31326.25694647676
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,<5 years,25814.50876670525,28819.526831131283,23427.43932248375
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,5-9 years,20109.03696231665,23577.26304243186,17447.42003494279
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,10-14 years,23058.61357824873,26580.6969555572,20032.48147948585
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,15-19 years,29528.73876791805,34379.68427593866,25507.78293723433
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,20-24 years,37335.26894456542,42648.9659550332,33143.46991327219
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,25-29 years,41105.59256672967,45353.59556284559,36647.30475039447
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,30-34 years,43470.66341487566,48518.2963452431,38641.78030317274
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,35-39 years,45628.33608048516,51792.04324255753,40115.84639291647
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,40-44 years,46305.42328424233,52534.547533197365,41198.77818658456
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,45-49 years,46713.54246606589,52932.753883500794,40305.52131231069
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,50-54 years,44974.960338041,51516.296480747405,39366.91400012259
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,55-59 years,46910.02782967106,53307.5258642462,41655.46645354889
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,60-64 years,45956.83872080703,52734.05847770781,40776.12146498316
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,65-69 years,44170.66774315732,50219.17737276149,38598.35958759615
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,70-74 years,41754.54198570278,47477.04644592306,36543.40332170416
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,75-79 years,40317.73034572847,45941.62644712176,34949.20187785454
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,80-84 years,39970.41058776672,45664.09243143365,34500.609966633114
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,85-89 years,36326.11253619089,42211.15354815027,31448.87127819136
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,90-94 years,36473.776485121736,44627.62819060794,30607.641568024057
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,Male,95+ years,35530.68608590338,43311.91719163416,30468.72658093305
410,Neoplasms,409,2,Both,<5 years,1000.17737553718,1228.27562390907,807.62153988192
410,Neoplasms,409,2,Both,5-9 years,821.6141755987901,1047.73166363703,647.11204882506
410,Neoplasms,409,2,Both,10-14 years,736.19915197236,1003.24193906286,524.01856883884
410,Neoplasms,409,2,Both,15-19 years,992.41505437003,1324.33224138139,725.99644407683
410,Neoplasms,409,2,Both,20-24 years,1450.17615876337,1947.55189061497,1098.83397180323
410,Neoplasms,409,2,Both,25-29 years,2231.99009388188,2793.28625419645,1729.8333056400402
410,Neoplasms,409,2,Both,30-34 years,3172.93335603231,3940.5784503782097,2497.32924261905
410,Neoplasms,409,2,Both,35-39 years,4208.4572715551,5296.744939553169,3397.0664690325
410,Neoplasms,409,2,Both,40-44 years,5471.47478049048,6933.76910382295,4417.2565265148605
410,Neoplasms,409,2,Both,45-49 years,6978.71818187884,8441.95623837187,5671.82621809017
410,Neoplasms,409,2,Both,50-54 years,9178.58902432361,11376.50182178235,7482.22724528698
410,Neoplasms,409,2,Both,55-59 years,12240.116627951831,14255.89768940782,10444.28424482509
410,Neoplasms,409,2,Both,60-64 years,15942.518360297512,18644.429254786988,13472.06725022008
410,Neoplasms,409,2,Both,65-69 years,19259.740985774828,22202.05893116959,16522.61039223822
410,Neoplasms,409,2,Both,70-74 years,21990.01821110375,25500.6229647059,19128.748837816813
410,Neoplasms,409,2,Both,75-79 years,24045.67805184081,26971.71193360326,21253.50512143951
410,Neoplasms,409,2,Both,80-84 years,24790.39813581013,28353.90500922045,21606.38314058856
410,Neoplasms,409,2,Both,85-89 years,25891.66782246389,29176.648946646437,23039.85979270184
410,Neoplasms,409,2,Both,90-94 years,23195.448757571772,26532.026086245107,20337.6431769624
