population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Male,<5 years,Neoplasms,Rate,2023,675.69113864721,859.00520122019,528.46014359861
All Population,Incidence,United States of America,Female,<5 years,Neoplasms,Rate,2023,939.2387950008199,1198.58445809403,736.82849848048
All Population,Incidence,United States of America,Male,0-6 days,Neoplasms,Rate,2023,130.1467264616,180.55924798146,92.61481425327
All Population,Incidence,United States of America,Female,0-6 days,Neoplasms,Rate,2023,168.9276497914,232.49773061762,126.96095677805
All Population,Incidence,United States of America,Male,5-9 years,Neoplasms,Rate,2023,477.55768009153,667.26897434286,334.85617651503
All Population,Incidence,United States of America,Female,5-9 years,Neoplasms,Rate,2023,609.17176304723,856.56065753593,426.91605456248
All Population,Incidence,United States of America,Male,10-14 years,Neoplasms,Rate,2023,415.49009231827995,597.64880269145,276.68067559842
All Population,Incidence,United States of America,Female,10-14 years,Neoplasms,Rate,2023,602.7261637100199,839.065199095,409.40009745330997
All Population,Incidence,United States of America,Male,15-19 years,Neoplasms,Rate,2023,482.31597629275,677.87563654414,325.54068229775004
All Population,Incidence,United States of America,Female,15-19 years,Neoplasms,Rate,2023,916.30239792168,1296.97029514615,611.41734183315
All Population,Incidence,United States of America,Male,25-29 years,Neoplasms,Rate,2023,720.59123056545,1085.13366032329,476.19025058331005
All Population,Incidence,United States of America,Female,25-29 years,Neoplasms,Rate,2023,2081.9461328396496,3052.20513953962,1422.28279642391
All Population,Incidence,United States of America,Male,30-34 years,Neoplasms,Rate,2023,1002.53053501078,1402.5218898277399,713.82302640397
All Population,Incidence,United States of America,Female,30-34 years,Neoplasms,Rate,2023,2870.94445491892,3872.71470632517,2130.37656673415
All Population,Incidence,United States of America,Male,35-39 years,Neoplasms,Rate,2023,1413.01437418519,1977.96972670033,955.47318216799
All Population,Incidence,United States of America,Female,35-39 years,Neoplasms,Rate,2023,3740.5864352484305,5059.83516160191,2585.10780716299
All Population,Incidence,United States of America,Male,40-44 years,Neoplasms,Rate,2023,1982.4567160154902,2488.60210545525,1496.96138478709
All Population,Incidence,United States of America,Female,40-44 years,Neoplasms,Rate,2023,4627.9106666770795,5880.729226773889,3474.71840917917
All Population,Incidence,United States of America,Male,45-49 years,Neoplasms,Rate,2023,2727.05543844677,3599.70233377102,1985.7964522537
All Population,Incidence,United States of America,Female,45-49 years,Neoplasms,Rate,2023,5522.44156995542,7479.37361352042,3925.0079176018403
All Population,Incidence,United States of America,Male,50-54 years,Neoplasms,Rate,2023,4170.323934397669,5048.94900305104,3392.18771732114
All Population,Incidence,United States of America,Female,50-54 years,Neoplasms,Rate,2023,6574.53535207594,8286.38936805992,5081.7852417063295
All Population,Incidence,United States of America,Male,55-59 years,Neoplasms,Rate,2023,6306.1142416085695,7882.72939726145,4929.49284021929
All Population,Incidence,United States of America,Female,55-59 years,Neoplasms,Rate,2023,7785.68112392155,10021.95067251388,5978.90143615887
All Population,Incidence,United States of America,Male,60-64 years,Neoplasms,Rate,2023,9250.76528330769,10864.08235504335,7729.31451488513
All Population,Incidence,United States of America,Female,60-64 years,Neoplasms,Rate,2023,9169.1514299227,11330.36184448572,7359.28126106719
All Population,Incidence,United States of America,Male,65-69 years,Neoplasms,Rate,2023,12776.45120225106,15804.94200439756,10555.12744170692
All Population,Incidence,United States of America,Female,65-69 years,Neoplasms,Rate,2023,10621.90981919526,13747.849240494108,8413.847072009161
All Population,Incidence,United States of America,Male,70-74 years,Neoplasms,Rate,2023,16160.52194785801,19197.72149032714,13415.789326227889
All Population,Incidence,United States of America,Female,70-74 years,Neoplasms,Rate,2023,11700.63316261111,14934.89820209016,9311.29183743434
All Population,Incidence,United States of America,Male,75-79 years,Neoplasms,Rate,2023,19530.32136315688,23058.18547775246,16125.53154908796
All Population,Incidence,United States of America,Female,75-79 years,Neoplasms,Rate,2023,12570.97261952673,15059.469210070669,10251.765980139919
All Population,Incidence,United States of America,Male,<1 year,Neoplasms,Rate,2023,702.2510723184699,911.1050031273,531.1946097428
All Population,Incidence,United States of America,Female,<1 year,Neoplasms,Rate,2023,1006.9009513959201,1311.37416381708,769.54047436453
All Population,Incidence,United States of America,Male,80-84 years,Neoplasms,Rate,2023,22490.584868196,26073.31450572243,19245.77705286576
All Population,Incidence,United States of America,Female,80-84 years,Neoplasms,Rate,2023,13061.41371131819,15658.73758042391,11005.40392577817
All Population,Incidence,United States of America,Male,85-89 years,Neoplasms,Rate,2023,25274.629246714198,28822.56217036136,21988.16541995282
All Population,Incidence,United States of America,Female,85-89 years,Neoplasms,Rate,2023,13461.7948121881,15429.23117043081,11420.58293560346
All Population,Incidence,United States of America,Male,90-94 years,Neoplasms,Rate,2023,27329.436564136213,31648.549294375873,23016.229611526822
All Population,Incidence,United States of America,Female,90-94 years,Neoplasms,Rate,2023,13391.63888984376,15543.650683300239,11067.0698061006
All Population,Incidence,United States of America,Male,2-4 years,Neoplasms,Rate,2023,651.74516627023,823.25976498912,512.47013976335
All Population,Incidence,United States of America,Female,2-4 years,Neoplasms,Rate,2023,890.3542081847,1123.10963899635,697.47313858111
All Population,Incidence,United States of America,Male,95+ years,Neoplasms,Rate,2023,28465.070917603258,34007.16639512046,23206.06054405982
