population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Both,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,732792.5098352979,842108.6656890615,627575.7199474775
All Population,Incidence,United States of America,Both,5-9 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,545376.705133944,683535.6656133254,433847.7922972386
All Population,Incidence,United States of America,Both,10-14 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,473835.6323753052,588480.0144015244,371921.5227094474
All Population,Incidence,United States of America,Both,15-19 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,462479.14098861325,579996.5560079354,366764.20191435784
All Population,Incidence,United States of America,Both,20-24 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,454909.5345016377,565390.120539917,362105.953451501
All Population,Incidence,United States of America,Both,25-29 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,438253.2971331339,549008.2357277212,355708.3083366728
All Population,Incidence,United States of America,Both,30-34 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,408294.0038945678,511157.67396540334,317484.5600828444
All Population,Incidence,United States of America,Both,35-39 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,403933.2709660335,505164.87181323254,318370.693468518
All Population,Incidence,United States of America,Both,40-44 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,385431.53777043446,502663.97723301355,297945.66601317876
All Population,Incidence,United States of America,Both,45-49 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,374514.3055605753,476357.7812858176,292207.4585604196
All Population,Incidence,United States of America,Both,50-54 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,356006.6570571988,447438.52812907397,274887.7796965078
All Population,Incidence,United States of America,Both,55-59 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,356486.64859537414,430100.2420433441,281803.66756053077
All Population,Incidence,United States of America,Both,60-64 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,330805.8005950144,412488.4130613152,258514.4292592548
All Population,Incidence,United States of America,Both,65-69 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,310278.9931309505,382037.90025068173,245406.04617819833
All Population,Incidence,United States of America,Both,70-74 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,301453.58299065166,382840.1106676471,241829.8959335893
All Population,Incidence,United States of America,Both,75-79 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,278044.88679836126,347649.47735641163,224437.24360464083
All Population,Incidence,United States of America,Both,<1 year,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,801411.2261578622,895403.2077820248,686097.2477267521
All Population,Incidence,United States of America,Both,80-84 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,267776.1280839318,338206.29810157313,210765.95845872993
All Population,Incidence,United States of America,Both,85-89 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,272424.2151768184,334961.12103906047,224415.6562235694
