population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,United States of America,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,68.46746853726938,72.10685694129714,63.95172097500519
All Population,Deaths,United States of America,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,54.46893737011985,58.77435111847901,48.563690847392444
All Population,Deaths,United States of America,Both,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,61.62265514212852,64.70486294384261,57.61326417355673
All Population,Deaths,United States of America,Male,5-9 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,0.9561883910280611,1.045218676913756,0.8693173106315072
All Population,Deaths,United States of America,Female,5-9 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,0.8344214480051299,0.9264429801501154,0.7454949458381399
All Population,Deaths,United States of America,Both,5-9 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,0.8967030094308985,0.9661325377734475,0.8379312926566899
All Population,Deaths,United States of America,Male,10-14 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,0.892124181640663,0.9722921801629153,0.8138475134689598
All Population,Deaths,United States of America,Female,10-14 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,0.7632484764285868,0.8578992688045736,0.6818715762305957
All Population,Deaths,United States of America,Both,10-14 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,0.8292780546268896,0.8918523966580617,0.7688414929332766
All Population,Deaths,United States of America,Male,15-19 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,1.297095031191911,1.4401087349272643,1.167876476551182
All Population,Deaths,United States of America,Female,15-19 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,1.3993565527949194,1.5411721529110975,1.2636960721589996
All Population,Deaths,United States of America,Both,15-19 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,1.3469902411440329,1.4449574748477678,1.2408904050575542
All Population,Deaths,United States of America,Male,20-24 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2.178843864223469,2.423560099264083,1.9327688968563583
All Population,Deaths,United States of America,Female,20-24 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2.824045170822465,3.1497406409665722,2.492979800605824
All Population,Deaths,United States of America,Both,20-24 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,2.495325920726521,2.6911550693161654,2.2820202414924795
All Population,Deaths,United States of America,Male,25-29 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,3.9749089055175415,4.447525361174704,3.455383784536286
All Population,Deaths,United States of America,Female,25-29 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,4.591856573294584,5.131617903444322,3.935851638794142
All Population,Deaths,United States of America,Both,25-29 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,4.278234061242098,4.673452000626107,3.8624558468647052
All Population,Deaths,United States of America,Male,30-34 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,6.855168048833088,7.699371849896826,5.9095810691614155
All Population,Deaths,United States of America,Female,30-34 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2023,6.560040517666171,7.307753648258615,5.69665320299453
