"age_band","sex","mean","ci_lower","ci_upper"
"18-24","Female",0.525820882488294,0.478813155791115,0.572828609185474
"25-29","Female",0.631176341769312,0.546685501949698,0.715667181588926
"30-34","Female",0.679140061618303,0.583968120684484,0.774312002552121
"35-39","Female",0.885650909395929,0.760178791471689,1.01112302732017
"40-44","Female",1.06392582659489,0.949328314637649,1.17852333855213
"45-49","Female",1.34013635683913,1.17326216884501,1.50701054483325
"50-54","Female",1.91081121623391,1.73706634349003,2.08455608897779
"55-59","Female",2.04333888653181,1.86635592152427,2.22032185153935
"60-64","Female",2.41733924144269,2.2512232488618,2.58345523402358
"65-69","Female",2.87776921304169,2.63827665331554,3.11726177276784
"70-74","Female",3.02797595426218,2.83632882170136,3.219623086823
"75-79","Female",3.10901069210097,2.92170687113135,3.29631451307059
"80+","Female",3.36109198023166,3.19478370946135,3.52740025100197
"18-24","Male",0.468107807211306,0.421532445646897,0.514683168775715
"25-29","Male",0.596186211779321,0.489620619825085,0.702751803733557
"30-34","Male",0.728775416285955,0.632944291922492,0.824606540649418
"35-39","Male",0.94585074169839,0.83034345354522,1.06135802985156
"40-44","Male",1.01560503409523,0.876203075969713,1.15500699222075
"45-49","Male",1.31120918005947,1.19071146486574,1.4317068952532
"50-54","Male",1.82232342200844,1.64363291478198,2.00101392923491
"55-59","Male",2.22737157699426,2.03072755715442,2.4240155968341
"60-64","Male",2.61132113286387,2.40615567708965,2.8164865886381
"65-69","Male",2.75306395136264,2.57842382856593,2.92770407415935
"70-74","Male",3.21053869413362,3.04475745740749,3.37631993085975
"75-79","Male",3.42239982044396,3.17158211622653,3.67321752466139
"80+","Male",3.30050984470414,3.14148904839816,3.45953064101013
"18-24","Both",0.496609134777762,0.462087448814122,0.531130820741402
"25-29","Both",0.6138648624369,0.538379892306587,0.689349832567213
"30-34","Both",0.704322056587897,0.641989071686906,0.766655041488888
"35-39","Both",0.914405403014301,0.83029785774413,0.998512948284472
"40-44","Both",1.04027569335899,0.952376609207399,1.12817477751058
"45-49","Both",1.32590648142586,1.21551201617187,1.43630094667985
"50-54","Both",1.86964249132217,1.73594731221229,2.00333767043205
"55-59","Both",2.13664735660171,1.99460116574482,2.2786935474586
"60-64","Both",2.51127274352613,2.38344996117269,2.63909552587957
"65-69","Both",2.81970583226641,2.65224639007343,2.98716527445938
"70-74","Both",3.11379619298038,3.0106109402375,3.21698144572326
"75-79","Both",3.2421392499314,3.07493640526968,3.40934209459312
"80+","Both",3.33678805885137,3.21238728415097,3.46118883355178
