"age_band","sex","prevalence","ci_lower","ci_upper"
"18-24","Female",0.0949590902352079,0.0716120588964247,0.118306121573991
"25-29","Female",0.14120624070084,0.10916131666026,0.17325116474142
"30-34","Female",0.146714606053452,0.114668807695303,0.1787604044116
"35-39","Female",0.223604418236203,0.180009833079611,0.267199003392795
"40-44","Female",0.286656917983858,0.243843702620171,0.329470133347545
"45-49","Female",0.359838826595484,0.304991154858316,0.414686498332652
"50-54","Female",0.537911820300655,0.49289165314504,0.582931987456269
"55-59","Female",0.552134983906358,0.502066699977289,0.602203267835427
"60-64","Female",0.655525722369225,0.605667401606163,0.705384043132288
"65-69","Female",0.761311847247029,0.71665449573456,0.805969198759498
"70-74","Female",0.80838140575459,0.768099416451558,0.848663395057623
"75-79","Female",0.839335835882441,0.804846351052278,0.873825320712604
"80+","Female",0.817542024451754,0.778813417825116,0.856270631078393
"18-24","Male",0.0779015230303169,0.0554342390241841,0.10036880703645
"25-29","Male",0.135618971728751,0.0978784549070197,0.173359488550482
"30-34","Male",0.181202411651734,0.14481274133805,0.217592081965418
"35-39","Male",0.241195360041226,0.199896015885567,0.282494704196885
"40-44","Male",0.270768488444208,0.216285232524732,0.325251744363683
"45-49","Male",0.362141887766824,0.31127707917233,0.413006696361318
"50-54","Male",0.489491618952929,0.430888830669865,0.548094407235993
"55-59","Male",0.62478689456952,0.573888202814956,0.675685586324083
"60-64","Male",0.675415263087971,0.625452331088986,0.725378195086957
"65-69","Male",0.714499495109202,0.666261574052845,0.762737416165559
"70-74","Male",0.834211185713001,0.794484208856884,0.873938162569118
"75-79","Male",0.851539249075297,0.815686008914063,0.88739248923653
"80+","Male",0.823609371909199,0.791566735038613,0.855652008779784
"18-24","Both",0.0863253214167335,0.0694529789006587,0.103197663932808
"25-29","Both",0.138441921409583,0.114351449459449,0.162532393359716
"30-34","Both",0.164211645268813,0.140998120975656,0.187425169561971
"35-39","Both",0.232006744364494,0.204060492543579,0.259952996185409
"40-44","Both",0.27888048353228,0.24646789086161,0.311293076202949
"45-49","Both",0.360971749928685,0.322332828549514,0.399610671307857
"50-54","Both",0.515384442746452,0.475966520047235,0.554802365445668
"55-59","Both",0.588971040666707,0.551368427138227,0.626573654195187
"60-64","Both",0.665157003932957,0.635326009074517,0.694987998791398
"65-69","Both",0.739515786755525,0.699347729160747,0.779683844350304
"70-74","Both",0.820523630852825,0.794657697349204,0.846389564356446
"75-79","Both",0.844519879143813,0.82157579515909,0.867463963128535
"80+","Both",0.81997608086638,0.793935921225331,0.846016240507428
