"age_band","sex","prevalence","ci_lower","ci_upper"
"18-24","Female",0.40612758859342,0.373562457391925,0.438692719794915
"25-29","Female",0.434503839212523,0.394473852153098,0.474533826271948
"30-34","Female",0.457610106212192,0.400326741452215,0.514893470972169
"35-39","Female",0.498742466647596,0.448103387421053,0.549381545874138
"40-44","Female",0.585509440272463,0.542047188145841,0.628971692399086
"45-49","Female",0.643867545680169,0.586126112474114,0.701608978886224
"50-54","Female",0.788710330344593,0.752171961477956,0.825248699211231
"55-59","Female",0.803391202566614,0.756956790810572,0.849825614322655
"60-64","Female",0.865456587137999,0.834683215907935,0.896229958368063
"65-69","Female",0.93854378216314,0.910728393283719,0.966359171042561
"70-74","Female",0.949981334375791,0.927894049458763,0.97206861929282
"75-79","Female",0.960405042595205,0.939393812354712,0.981416272835698
"80+","Female",0.942814571805038,0.919739886360667,0.96588925724941
"18-24","Male",0.370469191456225,0.338591505968022,0.402346876944428
"25-29","Male",0.417202002629523,0.359318142338951,0.475085862920095
"30-34","Male",0.481972483590758,0.421025418532054,0.542919548649462
"35-39","Male",0.549128307225632,0.488652700208787,0.609603914242477
"40-44","Male",0.566354013840125,0.50552428506162,0.62718374261863
"45-49","Male",0.680516623939302,0.640222131788681,0.720811116089923
"50-54","Male",0.766368948038998,0.722647407695101,0.810090488382895
"55-59","Male",0.82300528013423,0.784582649519014,0.861427910749445
"60-64","Male",0.847650922226904,0.81477750887379,0.880524335580017
"65-69","Male",0.887333970464259,0.851233589281054,0.923434351647463
"70-74","Male",0.957580521746486,0.938475705178793,0.976685338314179
"75-79","Male",0.937766926026325,0.913565108608345,0.961968743444306
"80+","Male",0.957331454309491,0.937701826608768,0.976961082010215
"18-24","Both",0.388078921182535,0.364496322876315,0.411661519488755
"25-29","Both",0.425943699924528,0.385816320952328,0.466071078896728
"30-34","Both",0.469970111871509,0.433041158891338,0.50689906485168
"35-39","Both",0.522809299991554,0.481487513892054,0.564131086091054
"40-44","Both",0.57613400655377,0.537757717703739,0.614510295403801
"45-49","Both",0.661895983837515,0.62583438330028,0.697957584374751
"50-54","Both",0.778316058113742,0.749002363153296,0.807629753074188
"55-59","Both",0.813335955126974,0.78251084811292,0.844161062141027
"60-64","Both",0.856834398490544,0.836622927964262,0.877045869016826
"65-69","Both",0.914700242956628,0.891916747292305,0.937483738620951
"70-74","Both",0.953553608075653,0.939270829550816,0.96783638660049
"75-79","Both",0.950788308834378,0.936108288990228,0.965468328678528
"80+","Both",0.948638354146198,0.933914809651054,0.963361898641342
