"condition","age_band","sex","prevalence","ci_lower","ci_upper"
"asthma","18-24","Female",0.238258374586152,0.204990392178992,0.271526356993311
"asthma","25-29","Female",0.213736781645179,0.171387555416716,0.256086007873643
"asthma","30-34","Female",0.193130677570918,0.152967775595007,0.233293579546828
"asthma","35-39","Female",0.178799143352139,0.144821406286609,0.21277688041767
"asthma","40-44","Female",0.156062513589613,0.118844489881989,0.193280537297238
"asthma","45-49","Female",0.191134339621143,0.141584181186049,0.240684498056237
"asthma","50-54","Female",0.165767383551353,0.130671590231892,0.200863176870815
"asthma","55-59","Female",0.176870719899636,0.14052178076795,0.213219659031323
"asthma","60-64","Female",0.199049121784165,0.159269126505699,0.23882911706263
"asthma","65-69","Female",0.181971405829995,0.130314894776719,0.233627916883271
"asthma","70-74","Female",0.170408704833971,0.133698404009417,0.207119005658525
"asthma","75-79","Female",0.162431407260168,0.113222368087854,0.211640446432481
"asthma","80+","Female",0.133805624101838,0.102310058103159,0.165301190100517
"asthma","18-24","Male",0.215620810678978,0.180734526516421,0.250507094841534
"asthma","25-29","Male",0.178907721084715,0.143781492129231,0.214033950040199
"asthma","30-34","Male",0.146285883762447,0.106384921743248,0.186186845781646
"asthma","35-39","Male",0.136084980447566,0.101256413535527,0.170913547359605
"asthma","40-44","Male",0.139761432747683,0.104051156364821,0.175471709130545
"asthma","45-49","Male",0.117045587381759,0.0890480479973543,0.145043126766163
"asthma","50-54","Male",0.128600660812112,0.0864497035539687,0.170751618070255
"asthma","55-59","Male",0.156517192911242,0.118047133977354,0.19498725184513
"asthma","60-64","Male",0.124296139979876,0.0968609091807058,0.151731370779047
"asthma","65-69","Male",0.110435038405359,0.0794119020867682,0.14145817472395
"asthma","70-74","Male",0.0876447929529936,0.0629223622337543,0.112367223672233
"asthma","75-79","Male",0.0936319221231496,0.0571525147409203,0.130111329505379
"asthma","80+","Male",0.111327524000145,0.0814487285205342,0.141206319479756
"asthma","18-24","Both",0.22677970378392,0.203562811116578,0.249996596451262
"asthma","25-29","Both",0.196522750054069,0.166158962887418,0.22688653722072
"asthma","30-34","Both",0.169326853361018,0.140617108506959,0.198036598215078
"asthma","35-39","Both",0.158396692420336,0.135007460160019,0.181785924680653
"asthma","40-44","Both",0.14808411104575,0.122235189185217,0.173933032906282
"asthma","45-49","Both",0.154688552950647,0.128914937213485,0.180462168687809
"asthma","50-54","Both",0.148475658769242,0.11802149394738,0.178929823591104
"asthma","55-59","Both",0.166568608510726,0.141065095656196,0.192072121365255
"asthma","60-64","Both",0.162822785401658,0.139621879126624,0.186023691676693
"asthma","65-69","Both",0.148650404576057,0.118644858922648,0.178655950229466
"asthma","70-74","Both",0.131517799453388,0.107478568323734,0.155557030583043
"asthma","75-79","Both",0.133205198028867,0.1011396010333,0.165270795024434
"asthma","80+","Both",0.124819838898667,0.100036460170227,0.149603217627107
"arthritis","18-24","Female",0.0405248605841227,0.0218296363396116,0.0592200848286337
"arthritis","25-29","Female",0.0529473323419803,0.0310548297866025,0.0748398348973582
"arthritis","30-34","Female",0.0658708077379061,0.0506017590359681,0.0811398564398442
"arthritis","35-39","Female",0.128420939687152,0.0928690761600658,0.163972803214239
"arthritis","40-44","Female",0.169561074049407,0.134782030048735,0.204340118050078
"arthritis","45-49","Female",0.255018276176174,0.209494338392925,0.300542213959423
"arthritis","50-54","Female",0.371451243581782,0.321382462642607,0.421520024520957
"arthritis","55-59","Female",0.40344214801272,0.350590003408892,0.456294292616548
"arthritis","60-64","Female",0.52433096510395,0.474918390438369,0.573743539769531
"arthritis","65-69","Female",0.590117893274468,0.532064058869437,0.648171727679499
"arthritis","70-74","Female",0.63140808864696,0.583023596055256,0.679792581238663
"arthritis","75-79","Female",0.650447552689595,0.604609032418138,0.696286072961051
"arthritis","80+","Female",0.656874844339019,0.612136284203058,0.701613404474981
"arthritis","18-24","Male",0.0300005523548467,0.011331272551755,0.0486698321579383
"arthritis","25-29","Male",0.0377342177493548,0.0193612385892191,0.0561071969094905
"arthritis","30-34","Male",0.0491430352903546,0.0242951062321015,0.0739909643486076
"arthritis","35-39","Male",0.0874282518815765,0.0577970657497261,0.117059438013427
"arthritis","40-44","Male",0.119823043926506,0.092097015538271,0.147549072314741
"arthritis","45-49","Male",0.167873977234856,0.129699376115119,0.206048578354592
"arthritis","50-54","Male",0.299480541698822,0.244117454968437,0.354843628429207
"arthritis","55-59","Male",0.37641608449517,0.33336879163509,0.41946337735525
"arthritis","60-64","Male",0.391713540266141,0.347072022335067,0.436355058197215
"arthritis","65-69","Male",0.476761260816047,0.417514500091059,0.536008021541035
"arthritis","70-74","Male",0.501107487620109,0.456030041990236,0.546184933249982
"arthritis","75-79","Male",0.485767225805645,0.419222061699022,0.552312389912268
"arthritis","80+","Male",0.509000236030884,0.463856154119524,0.554144317942244
"arthritis","18-24","Both",0.0351915676887471,0.0207971438119111,0.0495859915655831
"arthritis","25-29","Both",0.0454205949755513,0.0321666872603795,0.058674502690723
"arthritis","30-34","Both",0.0573830110617657,0.0431384758389625,0.0716275462845688
"arthritis","35-39","Both",0.108839873463812,0.0819100521646796,0.135769694762945
