Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
B72	Hodgkin's disease/lymphoma	Y78	Malignant neoplasm male genital other	2.372	27	11041	3062
B81	Anaemia, Vitamin B12/folate deficiency	N18	Paralysis/weakness	1.718	73	36409	3879
D74	Malignant neoplasm stomach	K94.02	Phlebitis/thrombophlebitis low limb deep	1.538	113	9836	16684
F94	Blindness	N18	Paralysis/weakness	2.139	35	13503	3917
K88	Postural hypotension	N99	Neurological disease, other	1.563	103	11032	18155
K93	Pulmonary embolism	T71	Malignant neoplasm thyroid	1.732	66	22074	6442
L71	Malignant neoplasm musculoskeletal	X77	Malignant neoplasm female genital other	1.961	46	3656	18088
N18	Paralysis/weakness	N87	Parkinsonism	1.648	84	3868	42021
N75	Benign neoplasm nervous system	U75	Malignant neoplasm of kidney	1.562	100	15867	12397
P75	Somatization disorder	P85	Mental retardation	1.517	121	17504	12442
S77	Malignant neoplasm of skin	Y78	Malignant neoplasm male genital other	1.503	130	108490	2959
A04	Weakness/tiredness general	B82	Anaemia other/unspecified	1.578	25796	245583	185647
A04	Weakness/tiredness general	D93	Irritable bowel syndrome	1.62	7541	263838	43894
A04	Weakness/tiredness general	D99	Disease digestive system, other	1.508	3103	268276	23388
A04	Weakness/tiredness general	H82	Vertiginous syndrome	1.621	42057	229322	282297
K88	Postural hypotension	A04	Weakness/tiredness general	2.23	2075	269304	9060
A04	Weakness/tiredness general	L84	Back syndrome without radiating pain	1.629	3504	267875	21632
A04	Weakness/tiredness general	P71	Organic psychosis other	1.643	10029	261350	73559
A04	Weakness/tiredness general	P74	Anxiety disorder/anxiety state	1.61	100212	171167	668617
P75	Somatization disorder	A04	Weakness/tiredness general	1.774	2754	268625	14871
A04	Weakness/tiredness general	P76	Depressive disorder	1.688	69364	202015	449723
A04	Weakness/tiredness general	P78	Neuraesthenia/surmenage	5.541	968	270411	1527
A70	Tuberculosis	B90	HIV-infection/aids	7.76	1354	31915	17559
