chapter,icpc2_code,description,grouped_codes,gbd_level2
General and unspecified,A04,Weakness/tiredness general,A04,Other non-communicable diseases
General and unspecified,A70,Tuberculosis,A70,"Communicable, maternal, neonatal, and nutritional diseases"
General and unspecified,A79,Malignancy NOS,A79,Neoplasms
General and unspecified,A90,Congenital anomaly OS/multiple,A90,"Communicable, maternal, neonatal, and nutritional diseases"
"Blood, Blood Forming Organs and Immune Mechanism",B75,Benign/unspecified neoplasm blood,B75,Neoplasms
"Blood, Blood Forming Organs and Immune Mechanism",B83,Purpura/coagulation defect,B83,Other non-communicable diseases
"Blood, Blood Forming Organs and Immune Mechanism",B90,HIV-infection/aids,B90,"Communicable, maternal, neonatal, and nutritional diseases"
"Blood, Blood Forming Organs and Immune Mechanism",B72,Hodgkin's disease/lymphoma,,Neoplasms
"Blood, Blood Forming Organs and Immune Mechanism",B73,Leukaemia,,Neoplasms
"Blood, Blood Forming Organs and Immune Mechanism",B74,Malignant neoplasm blood other,,Neoplasms
"Blood, Blood Forming Organs and Immune Mechanism",,Blood cancer / lymphoma,"B72, B73, B74",Neoplasms
"Blood, Blood Forming Organs and Immune Mechanism",B78,Hereditary haemolytic anaemia,B78,Other non-communicable diseases
"Blood, Blood Forming Organs and Immune Mechanism",B81,"Anaemia, Vitamin B12/folate def.",,Other non-communicable diseases
"Blood, Blood Forming Organs and Immune Mechanism",B82,Anaemia other/unspecified,,Other non-communicable diseases
"Blood, Blood Forming Organs and Immune Mechanism",,Anaemia,"B81, B82",Other non-communicable diseases
Digestive,D72,Viral hepatitis,D72,Digestive diseases
Digestive,D81,Congen. anomaly digestive system,D81,Digestive diseases
Digestive,D84,Oesophagus disease,D84,Digestive diseases
Digestive,D92,Diverticular disease,D92,Digestive diseases
Digestive,D93,Irritable bowel syndrome,D93,Digestive diseases
Digestive,D94,Chronic enteritis/ulcerative colitis,D94,Digestive diseases
Digestive,D97,Liver disease NOS,D97,Digestive diseases
Digestive,D98,Cholecystitis/cholelithiasis,D98,Digestive diseases
Digestive,D99,"Disease digestive system, other",D99,Digestive diseases
Digestive,D74,Malignant neoplasm stomach,,Neoplasms
Digestive,D75,Malignant neoplasm colon/rectum,D75,Neoplasms
Digestive,D76,Malignant neoplasm pancreas,,Neoplasms
Digestive,D77,Malig. neoplasm digest other/NOS,,Neoplasms
