chapter,icpc2_code,description,grouped_codes
General and unspecified,A04,Weakness/tiredness general,A04
General and unspecified,A70,Tuberculosis,A70
General and unspecified,A79,Malignancy NOS,A79
General and unspecified,A90,Congenital anomaly OS/multiple,A90
"Blood, Blood Forming Organs and Immune Mechanism",B75,Benign/unspecified neoplasm blood,B75
"Blood, Blood Forming Organs and Immune Mechanism",B83,Purpura/coagulation defect,B83
"Blood, Blood Forming Organs and Immune Mechanism",B90,HIV-infection/aids,B90
"Blood, Blood Forming Organs and Immune Mechanism",B72,Hodgkin's disease/lymphoma,
"Blood, Blood Forming Organs and Immune Mechanism",B73,Leukaemia,
"Blood, Blood Forming Organs and Immune Mechanism",B74,Malignant neoplasm blood other,
"Blood, Blood Forming Organs and Immune Mechanism",,Blood cancer / lymphoma,"B72, B73, B74"
"Blood, Blood Forming Organs and Immune Mechanism",B78,Hereditary haemolytic anaemia,B78
"Blood, Blood Forming Organs and Immune Mechanism",B81,"Anaemia, Vitamin B12/folate def.",
"Blood, Blood Forming Organs and Immune Mechanism",B82,Anaemia other/unspecified,
"Blood, Blood Forming Organs and Immune Mechanism",,Anaemia,"B81, B82"
Digestive,D72,Viral hepatitis,D72
Digestive,D81,Congen. anomaly digestive system,D81
Digestive,D84,Oesophagus disease,D84
Digestive,D92,Diverticular disease,D92
Digestive,D93,Irritable bowel syndrome,D93
Digestive,D94,Chronic enteritis/ulcerative colitis,D94
Digestive,D97,Liver disease NOS,D97
Digestive,D98,Cholecystitis/cholelithiasis,D98
Digestive,D99,"Disease digestive system, other",D99
Digestive,D74,Malignant neoplasm stomach,
Digestive,D75,Malignant neoplasm colon/rectum,D75
Digestive,D76,Malignant neoplasm pancreas,
Digestive,D77,Malig. neoplasm digest other/NOS,
Digestive,,"Digestive cancer, other","D74, D76, D77"
Digestive,D85,Duodenal ulcer,
Digestive,D86,Peptic ulcer other,
Digestive,,Peptic ulcer,"D85, D86"
Eye,F74,Neoplasm of eye/adnexa,F74
Eye,F92,Cataract,F92
Eye,F93,Glaucoma,F93
Eye,F94,Blindness,F94
Eye,F82,Detached retina,
Eye,F83,Retinopathy,
Eye,F84,Macular degeneration,
Eye,,Retinopathy,"F82, F83, F84"
Ear,H75,Neoplasm of ear,H75
Ear,H82,Vertiginous syndrome,H82
Ear,H84,Presbyacusis,H84
Ear,H86,Deafness,H86
Cardiovascular,K72,Neoplasm cardiovascular,K72
Cardiovascular,K77,Heart failure,K77
Cardiovascular,K88,Postural hypotension,K88
Cardiovascular,K92,Atherosclerosis/Peripheral vascular disease,K92
Cardiovascular,K93,Pulmonary embolism,K93
Cardiovascular,K73,Congenital anomaly cardiovascular,K73
Cardiovascular,K71,Rheumatic fever/heart disease,
Cardiovascular,K81,Heart/arterial murmur NOS,K81
Cardiovascular,K82,Pulmonary heart disease,K82
