Age,mx
0,0.00533
1,0.00036
2,0.00022
3,0.00016
4,0.00014
5,0.00012
6,0.00011
7,0.0001
8,0.0001
9,0.0001
10,9e-05
11,0.0001
12,0.00011
13,0.00013
14,0.00016
15,0.00019
16,0.00023
17,0.00027
18,0.00034
19,0.00037
20,0.0004
21,0.00045
22,0.00047
23,0.00049
24,0.00051
25,0.00055
26,0.00058
27,0.00061
28,0.00065
29,0.00069
30,0.00074
31,0.00078
32,0.00083
33,0.00088
34,0.00092
35,0.00099
36,0.00105
37,0.00111
38,0.00119
39,0.00127
40,0.00135
41,0.00144
42,0.00157
43,0.00171
44,0.00185
45,0.00202
46,0.00223
47,0.00241
48,0.00264
49,0.0029
50,0.00317
51,0.00346
52,0.00375
53,0.00403
54,0.00437
55,0.00472
56,0.0051
57,0.0055
58,0.00587
59,0.00627
60,0.00675
61,0.00725
62,0.00782
63,0.00845
64,0.00912
65,0.00983
66,0.01063
67,0.01158
68,0.01265
69,0.01388
70,0.01528
71,0.01675
72,0.01846
73,0.02024
74,0.02231
75,0.02474
76,0.0272
77,0.03015
78,0.03336
79,0.03718
80,0.0422
81,0.04712
82,0.0532
83,0.05971
84,0.06736
85,0.0763
86,0.08559
87,0.09681
88,0.10902
89,0.12315
90,0.13975
91,0.15643
92,0.17528
93,0.19539
94,0.21889
95,0.24075
96,0.26604
97,0.29296
98,0.32142
99,0.35126
100,0.38232
101,0.41436
102,0.44715
103,0.48041
104,0.51384
105,0.54714
106,0.58003
107,0.61222
108,0.64347
109,0.67353
